sec,nanosec,positions,velocities,efforts
1715056106,904419784,"array('d', [0.003477488801615717, -0.7826688974706842, -0.0006772845321319646, -2.355001926471712, 0.005632907394903232, 1.5746436543706726, 0.7747107676063452, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.00015792390847310786, 0.0006404201043025764, -0.00017184440553020652, 0.001971818238133271, -0.0002881309016627891, -0.00019317160754660584, -0.00164011887456035, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.188185214996338, -0.38233497738838196, 22.37912368774414, 0.6396214962005615, 2.1865885257720947, -0.0030377209186553955, 0.0, 0.0])"
1715056106,971110362,"array('d', [0.003479201322352408, -0.7826753894823655, -0.0006772845321374641, -2.355007846225407, 0.00563203559225539, 1.5746423840380925, 0.7747080465442633, 0.01598392240703106, 0.01598392240703106])","array('d', [0.0006889236000768259, -0.001936938641246997, -0.000622305390050301, -7.674009941451487e-05, -0.0011956627971683677, 6.47620197343544e-05, -4.35486267779347e-05, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.136610507965088, -0.38233497738838196, 22.45450210571289, 0.6460301876068115, 2.2003214359283447, -0.0030377209186553955, 0.0, 0.0])"
1715056107,37934071,"array('d', [0.0034753584012755813, -0.7826746771699122, -0.0006772845321374716, -2.355005528846644, 0.005634848415266456, 1.5746440075894463, 0.7747146663713241, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.0006330281754187097, -0.0018760728268568364, -0.0001365881720744135, 0.0009773290726828722, 0.0008579144585114163, 0.0008780537270926923, 0.0022566668295917235, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.136610507965088, -0.38233497738838196, 22.42673110961914, 0.6533544063568115, 2.1865885257720947, -0.023179322481155396, 0.0, 0.0])"
1715056107,104400258,"array('d', [0.003475776265739728, -0.7826732525453162, -0.0006755018551184098, -2.355007582034107, 0.005633578777133784, 1.5746432499293406, 0.7747107662140884, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.0005454697024753574, -0.0009869083020046289, 0.0006007321560207289, 7.403762941211772e-05, -1.8170169464273855e-05, 0.0002462059789724903, 0.0004050294114455442, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.136610507965088, -0.40613868832588196, 22.42673110961914, 0.6460301876068115, 2.1929972171783447, -0.0030377209186553955, 0.0, 0.0])"
1715056107,171105119,"array('d', [0.0034774771001496257, -0.7826705305551954, -0.0006755106228369695, -2.3550085645741485, 0.005632151046481853, 1.5746423660981235, 0.7747080512656767, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.00018137293384648618, -0.0011007322967941623, 4.385249925984954e-05, 0.00043616027906876294, -0.0009010821128348937, 4.999206061285854e-05, 0.002043459462862213, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.164381504058838, -0.40613868832588196, 22.45450210571289, 0.6460301876068115, 2.2003214359283447, 0.0033709704875946045, 0.0, 0.0])"
1715056107,237857635,"array('d', [0.003479200348655688, -0.7826683847511962, -0.0006755018551184106, -2.3550084110730127, 0.005632907245224796, 1.5746447652315765, 0.7747055466920152, 0.01598392240703106, 0.01598392240703106])","array('d', [0.0005978108601231325, 0.00036314913802732476, 0.0005127716036550319, 0.0002549599716814004, -0.0005521852941378412, 0.0005530391732608028, 0.00030867071311664547, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.164381504058838, -0.40613868832588196, 22.42673110961914, 0.6396214962005615, 2.1801798343658447, 0.017103880643844604, 0.0, 0.0])"
1715056107,304451445,"array('d', [0.003478491513465482, -0.7826705305188567, -0.0006755018551184106, -2.3550083176589696, 0.005636424253606109, 1.5746404754557013, 0.7747079693800368, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.00032946964890677785, -0.00010959887921860202, 0.0005041169148536974, -0.0002449028448058507, 0.0009003729741875293, -0.0008091153401799232, -1.2364001567750004e-05, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.164381504058838, -0.40613868832588196, 22.45450210571289, 0.6460301876068115, 2.1865885257720947, 0.023512572050094604, 0.0, 0.0])"
1715056107,371190575,"array('d', [0.0034792013264070562, -0.7826650280632311, -0.000677284207407147, -2.3550145211451103, 0.00563136258834135, 1.5746392051157427, 0.7747104674543086, 0.01598392240703106, 0.01598392240703106])","array('d', [0.0007747276361959569, 0.0012977335336331448, 0.0001448602165258415, -0.0024561199382582793, 0.0003484399309270133, -0.0005767651765726675, 0.0037831881313906504, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.239759922027588, -0.38233497738838196, 22.50607681274414, 0.6533544063568115, 2.2003214359283447, 0.009779661893844604, 0.0, 0.0])"
1715056107,437787337,"array('d', [0.0034737783520583194, -0.782668820941116, -0.000677281609564611, -2.3550039837943753, 0.005638401147908955, 1.5746432499346594, 0.7747119212855383, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.001220063198780397, 0.00013401931093449514, 2.9465294098671906e-06, 0.000813050416737045, 0.002782669665073154, -0.0008711614210474989, 0.0013799846746357992, 0.0, 0.0])","array('d', [-0.24957314133644104, -4.188185214996338, -0.38233497738838196, 22.40292739868164, 0.6332128047943115, 2.1929972171783447, -0.009446412324905396, 0.0, 0.0])"
1715056107,504473818,"array('d', [0.0034750953888322404, -0.7827059620123751, -0.0006977794789174205, -2.355008826520346, 0.005631835399739105, 1.57462068089169, 0.7746925462472647, 0.01598392240703106, 0.01598392240703106])","array('d', [0.00011796824259282016, -0.001570462206018678, -2.1849433761719685e-05, 0.0007075967747455256, -0.0005661756759410611, 0.0009577740198919466, -0.0005585979284210657, 0.0, 0.0])","array('d', [-0.30114784836769104, -3.835096836090088, -0.27918556332588196, 22.42673110961914, 0.6460301876068115, 2.2991983890533447, 0.029921263456344604, 0.0, 0.0])"
1715056107,571090199,"array('d', [0.0034792013217522177, -0.782691560773717, -0.0006869597029307514, -2.3550126553913757, 0.005634138933671228, 1.5746342548138152, 0.7746924184469979, 0.01598392240703106, 0.01598392240703106])","array('d', [0.001015154872809337, 0.0006899903638910122, 0.0010033583424004732, -0.0004071264566754252, 0.0005388133253849174, -0.0002534003137423804, 0.0001306507820665175, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.136610507965088, -0.38233497738838196, 22.47830581665039, 0.6332128047943115, 2.2195475101470947, 0.043654173612594604, 0.0, 0.0])"
1715056107,637852461,"array('d', [0.003477462500576158, -0.7826660593740238, -0.0006907343828411372, -2.3550126096087927, 0.005630246212930074, 1.5746315596859093, 0.774698330942819, 0.01598392240703106, 0.01598392240703106])","array('d', [-0.00037549800628319954, -0.001225184402263276, -0.0010603307179011588, -0.000720855047445327, -0.0015785493549056616, -0.0011304504183601463, 0.0019452511583366889, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.315138339996338, -0.33076027035713196, 22.47830581665039, 0.6533544063568115, 2.2195475101470947, -0.0030377209186553955, 0.0, 0.0])"
1715056107,704414812,"array('d', [0.003478937877008813, -0.7826979271484864, -0.0007000323312872977, -2.3549820909084582, 0.005635354504254852, 1.5746416204291223, 0.7746996011854882, 0.01598392240703106, 0.01598392240703106])","array('d', [0.0006240332831759985, 0.0013207338837345239, 0.000932922497287331, 0.0001262140742536015, -0.00023985321286533324, 0.00039965259831020153, 0.0003778136006959941, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.061232089996338, -0.42994239926338196, 22.32754898071289, 0.6460301876068115, 2.1664469242095947, -0.016770631074905396, 0.0, 0.0])"
1715056107,771117731,"array('d', [0.003507663009338755, -0.7825928230300121, -0.0006443138944968076, -2.354996448920212, 0.0056538399936049795, 1.574727910826017, 0.7747178233501135, 0.01598392240703106, 0.01598392240703106])","array('d', [0.0014221170309072352, 0.005207383851613023, 0.0023468029716031164, -0.000436676716457655, 0.0005786162272729768, 0.0022829427670742037, 0.000694063496844189, 0.0, 0.0])","array('d', [-0.6026614904403687, -4.866590976715088, -0.8385727405548096, 22.50607681274414, 0.5315892696380615, 1.8084757328033447, -0.049729615449905396, 0.0, 0.0])"
1715056107,837886636,"array('d', [0.004659930606452633, -0.7799686487068404, -0.00016269305333676198, -2.3551343188189713, 0.00619178398346828, 1.576786402957162, 0.7747163582561806, 0.01598392240703106, 0.01598392240703106])","array('d', [0.03543492867981507, 0.08137190767844664, 0.013088748274621146, -0.0013816139296921486, 0.007551225566889446, 0.07753747801284024, 0.0014242374889254202, 0.0, 0.0])","array('d', [-0.7573856115341187, -5.068922519683838, -0.9377548694610596, 23.14480972290039, 0.47757312655448914, 1.5896646976470947, -0.035996705293655396, 0.0, 0.0])"
1715056107,904505556,"array('d', [0.00935644740612247, -0.7691602178832253, 0.001758639588790727, -2.35649842472696, 0.007284239484166235, 1.5907577992859652, 0.7737489497208906, 0.01598392240703106, 0.01598392240703106])","array('d', [0.11243857048216639, 0.242485858137195, 0.04126485173318949, -0.03335055133129299, 0.029099504290284753, 0.3818995029658044, -0.04978245934589196, 0.0, 0.0])","array('d', [-0.8327640295028687, -5.822706699371338, -1.0924789905548096, 23.50186538696289, 0.33566638827323914, 1.2307779788970947, 0.2285906970500946, 0.0, 0.0])"
1715056107,971249852,"array('d', [0.021391195484268544, -0.747255432780752, 0.006443439657156396, -2.359039524916785, 0.010962645993974292, 1.6233380500273358, 0.7696093606236505, 0.01598392240703106, 0.01598392240703106])","array('d', [0.23108597838872158, 0.4106703495615184, 0.10706802047676568, -0.036399628785391526, 0.0728258252816054, 0.5692766837289761, -0.044988881749672825, 0.0, 0.0])","array('d', [-1.4873660802841187, -6.528883457183838, -1.6240952014923096, 23.60501480102539, 0.20749256014823914, 1.3433878421783447, 0.029921263456344604, 0.0, 0.0])"
1715056108,37804787,"array('d', [0.04143042516894845, -0.7141331331956939, 0.016922622389088298, -2.361893215503619, 0.01774372523768279, 1.6646876586228017, 0.7706269742256416, 0.01598392240703106, 0.01598392240703106])","array('d', [0.3457806198553398, 0.5652808977710293, 0.1871083594648361, -0.04271618382206713, 0.1326597601053959, 0.6576877256375475, 0.07071320757965457, 0.0, 0.0])","array('d', [-1.7412723302841187, -7.861891269683838, -2.2350571155548096, 23.27176284790039, 0.17361804842948914, 1.3305704593658447, -0.3280499279499054, 0.0, 0.0])"
1715056108,104379505,"array('d', [0.06791777098306406, -0.6691579317426491, 0.03276969767934629, -2.3656688490032693, 0.03262312240656256, 1.7172781060258766, 0.7785650055996917, 0.01598392240703106, 0.01598392240703106])","array('d', [0.4395844250819082, 0.7603624724487267, 0.25266865695069723, -0.06206387058664952, 0.29220794387910176, 0.904451404173346, 0.16170140733760943, 0.0, 0.0])","array('d', [-1.7650760412216187, -10.051833152770996, -2.8420517444610596, 23.19638442993164, -0.09646251052618027, 0.9387247562408447, -0.4214337170124054, 0.0, 0.0])"
