sec,nanosec,positions,velocities,efforts
1714881137,450614820,"array('d', [0.0033924011027081807, -0.7801969365333739, -0.0008366705059187948, -2.3556728664694395, -0.005520166593012139, 1.5739779155911915, 0.7866318324013499, 0.04000938683748245, 0.04000938683748245])","array('d', [-0.0006354342476852894, -0.0007086145109165303, -0.002050055546709388, 0.0023572970900686795, -0.001700937119364766, 0.00023877330917195612, 0.0010840864030795554, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.136610507965088, -0.38233497738838196, 22.81155776977539, 0.9902684688568115, 2.2799723148345947, -0.0698712170124054, 0.0, 0.0])"
1714881137,517313438,"array('d', [0.003392373724468992, -0.7801897536260798, -0.0008344176365300568, -2.355679701031763, -0.005516414554822869, 1.57397757497591, 0.7866318193214146, 0.04000938683748245, 0.04000938683748245])","array('d', [0.00030155874403938154, 0.0018429651218739276, 0.0005777226081686833, -0.0003540984034240264, 0.0006787525045841244, 0.00016064238791723296, 0.000868340776873716, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.239759922027588, -0.40613868832588196, 22.83536148071289, 0.9975926876068115, 2.2799723148345947, -0.0698712170124054, 0.0, 0.0])"
1714881137,583901579,"array('d', [0.003395825823448045, -0.7801892770301699, -0.0008328793246358591, -2.3556749327600954, -0.005516628610665026, 1.5739752542131404, 0.7866263520422586, 0.04000938683748245, 0.04000938683748245])","array('d', [0.0011710306983343192, 0.0008438363850236927, -0.00032170705117806587, 0.0008530557801612047, 0.000432890425993871, -0.0005990993253629209, -0.00037855381786523995, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.239759922027588, -0.40613868832588196, 22.81155776977539, 0.9902684688568115, 2.2726480960845947, -0.023179322481155396, 0.0, 0.0])"
1714881137,650667282,"array('d', [0.0033951160503744087, -0.7802014844191819, -0.0008351190284640964, -2.3556751622467065, -0.0055166329946955755, 1.5739775623784829, 0.7866246882640012, 0.04000938683748245, 0.04000938683748245])","array('d', [0.0014770084816065768, -0.0010147609771180234, -0.000140786405055547, 0.0008689326157341321, -0.0004636008593018596, -0.001177268432410803, -0.001456639314375294, 0.0, 0.0])","array('d', [-0.32495155930519104, -4.112806797027588, -0.40613868832588196, 22.81155776977539, 0.9902684688568115, 2.2799723148345947, -0.009446412324905396, 0.0, 0.0])"
1714881137,717189947,"array('d', [0.003393377246402748, -0.7801878030881781, -0.0008368831826714446, -2.3556755759678305, -0.005519409041107951, 1.5739775623784829, 0.7866309665040464, 0.04000938683748245, 0.04000938683748245])","array('d', [-0.000944281322405171, 0.00028024026393096873, -0.0012263831487331499, -0.00012483659350422235, -0.00035398668760941096, -0.0003766604432479248, 0.0010743320721078844, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.263563632965088, -0.38233497738838196, 22.83536148071289, 0.9838597774505615, 2.2799723148345947, -0.0625469982624054, 0.0, 0.0])"
1714881137,783992522,"array('d', [0.0033918690925200195, -0.7801917387241923, -0.0008351277958577735, -2.3556766379666474, -0.005519655844280682, 1.573977562432319, 0.7866294511839393, 0.04000938683748245, 0.04000938683748245])","array('d', [-0.0009806591504928491, 0.0002737919226281526, -0.00025719260602783463, 0.0006261863395265601, -0.0007101991022869308, -0.0001762628955168086, 0.0015960808942742037, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.211988925933838, -0.40613868832588196, 22.83536148071289, 0.9975926876068115, 2.2799723148345947, -0.049729615449905396, 0.0, 0.0])"
1714881137,850635115,"array('d', [0.003391825560411244, -0.780199150740404, -0.000833256023774258, -2.355675159517529, -0.0055201310037389945, 1.573979943595871, 0.7866286940124646, 0.04000938683748245, 0.04000938683748245])","array('d', [-0.0013385000847553259, -4.935895755897379e-05, -0.0007269324944594295, 0.001109296316369392, -0.0006270159804677954, -0.0002006604577153788, 0.0007350848724604547, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.136610507965088, -0.42994239926338196, 22.81155776977539, 0.9975926876068115, 2.2598307132720947, -0.043320924043655396, 0.0, 0.0])"
1714881137,917255571,"array('d', [0.0033923748069332217, -0.7801915136581058, -0.0008350985671896668, -2.355679256296895, -0.005515152107321482, 1.5739791859411105, 0.7866228199157489, 0.04000938683748245, 0.04000938683748245])","array('d', [0.0006897654778936674, -0.0006962723622643244, -1.6125409519688938e-05, -0.001147087752274868, 0.00022479720393501687, -0.0007751862867180132, -0.0014744866043475166, 0.0, 0.0])","array('d', [-0.27734413743019104, -4.211988925933838, -0.40613868832588196, 22.86313247680664, 0.9838597774505615, 2.2662394046783447, -0.023179322481155396, 0.0, 0.0])"
1714881137,984017297,"array('d', [0.003393402571231815, -0.7801817084421486, -0.0008351014811918649, -2.3556807563727005, -0.005517653554687608, 1.573977562379172, 0.7866325520972087, 0.04000938683748245, 0.04000938683748245])","array('d', [-2.727902642571774e-05, 0.0004901088618609124, -0.0004224066214973906, -0.0004126024036758987, -0.0009336165329067296, -0.00045774285523453415, 0.000306857757185767, 0.0, 0.0])","array('d', [-0.30114784836769104, -4.315138339996338, -0.40613868832588196, 22.88693618774414, 1.0040013790130615, 2.2799723148345947, -0.049729615449905396, 0.0, 0.0])"
1714881138,50630441,"array('d', [0.0033940055038530334, -0.7802118952132413, -0.0008350981380928907, -2.3556751793586392, -0.005515905761983575, 1.573977563024505, 0.7866309665040847, 0.04000938683748245, 0.04000938683748245])","array('d', [-0.00015041572371363927, -0.001625355623294483, -0.0012679878124090393, -0.0004999898481413917, -0.000585257519306313, -0.00015515189284774473, 0.0013678218713582143, 0.0, 0.0])","array('d', [-0.30114784836769104, -3.985853672027588, -0.40613868832588196, 22.81155776977539, 0.9902684688568115, 2.2799723148345947, -0.0625469982624054, 0.0, 0.0])"
