sec,nanosec,positions,velocities,efforts
1715132835,569460679,"array('d', [0.00401051601501974, -0.7708524392783326, 0.011073434057983556, -2.3724257952405403, -0.009380430716910857, 1.5530167692433283, 0.7932134417611706, 0.040081948041915894, 0.040081948041915894])","array('d', [-0.0009469097502470686, -0.00026799322683034835, -0.0012517289081707926, 0.0008140738717618082, -0.0008325461365524727, 0.0006785948757881632, 0.00039480242465275467, 0.0, 0.0])","array('d', [-0.17419472336769104, -4.390516757965088, -0.7631943225860596, 22.68460464477539, 0.9975926876068115, 2.2991983890533447, -0.0964215099811554, 0.0, 0.0])"
1715132835,636127285,"array('d', [0.004014495424197006, -0.7708487021967401, 0.011071850861621936, -2.3724297392356752, -0.009381345244737336, 1.5530123572448744, 0.7932110694261703, 0.040081948041915894, 0.040081948041915894])","array('d', [0.0007581387092544623, 0.0001729110041529816, -0.0005441104700798559, -0.0015008537371212537, -0.0001678889187286913, -7.460397260422905e-05, 0.0009216972484085819, 0.0, 0.0])","array('d', [-0.20196571946144104, -4.438124179840088, -0.7116196155548096, 22.73617935180664, 0.9838597774505615, 2.3129312992095947, -0.0762799084186554, 0.0, 0.0])"
1715132835,702700148,"array('d', [0.004015117944177391, -0.7708507357515902, 0.011075792014119814, -2.3724251144958797, -0.009375516616272601, 1.5530166847399545, 0.7932079246308383, 0.040081948041915894, 0.040081948041915894])","array('d', [0.000951161612086681, 0.0003699373736039884, 0.0002634994651630931, 0.0011329701005035023, 0.0019690049244193994, -0.0006582933757988571, -0.0009562855633476887, 0.0, 0.0])","array('d', [-0.20196571946144104, -4.414320468902588, -0.7631943225860596, 22.65683364868164, 0.9975926876068115, 2.2991983890533447, -0.049729615449905396, 0.0, 0.0])"
1715132835,769410742,"array('d', [0.004011226180174761, -0.7708490132383741, 0.011072932227517943, -2.372423281743947, -0.009376813976734627, 1.5530139822655575, 0.7932103029563556, 0.04008227586746216, 0.04008227586746216])","array('d', [-0.0010960346826339002, 0.0009707925716867818, -5.083410277193946e-05, 0.0005418079967147091, -0.0006655340997797188, 0.0002465528887668161, 0.000537233646842266, 0.0, 0.0])","array('d', [-0.17419472336769104, -4.438124179840088, -0.7354233264923096, 22.65683364868164, 0.9975926876068115, 2.2991983890533447, -0.0698712170124054, 0.0, 0.0])"
1715132835,836071788,"array('d', [0.004014253718260337, -0.7708507267458595, 0.01107555553270853, -2.372425187693355, -0.009378507568919817, 1.5530144784772217, 0.793212395423023, 0.04008227586746216, 0.04008227586746216])","array('d', [0.00014930638584569316, -0.0003169745774272978, 0.0005247661113354748, 0.0009963361713783573, -0.00048305633739141086, 0.0007314592360752623, 0.0004225867206429831, 0.0, 0.0])","array('d', [-0.22576943039894104, -4.414320468902588, -0.7631943225860596, 22.68460464477539, 0.9838597774505615, 2.3129312992095947, -0.0964215099811554, 0.0, 0.0])"
1715132835,902652140,"array('d', [0.004013095836613006, -0.7708508076904389, 0.011081683010277772, -2.372431539550855, -0.00937770753537658, 1.5530105236341667, 0.7932145570491145, 0.040081948041915894, 0.040081948041915894])","array('d', [-0.0006298088289295435, -0.0006481068387870385, 0.0005132922426684995, 0.0007209233202505704, -5.2259626730920446e-05, 0.00021228980884210335, 0.00129001331245755, 0.0, 0.0])","array('d', [-0.20196571946144104, -4.414320468902588, -0.8385727405548096, 22.75998306274414, 0.9774510860443115, 2.3458902835845947, -0.1028302013874054, 0.0, 0.0])"
1715132835,969346228,"array('d', [0.004008566745794527, -0.7708503332476973, 0.011068899032017677, -2.3724290541220467, -0.009380875589938326, 1.5530111280170615, 0.7932110737892561, 0.040081948041915894, 0.040081948041915894])","array('d', [-0.0004242557952848748, 0.0001853675161280791, 0.0013645488965901222, -0.0005021504549805706, -0.0014400120861106439, -0.00017336449498841515, 0.00019185826325534688, 0.0, 0.0])","array('d', [-0.15039101243019104, -4.390516757965088, -0.6838486194610596, 22.70840835571289, 1.0040013790130615, 2.3129312992095947, -0.0762799084186554, 0.0, 0.0])"
1715132836,36003820,"array('d', [0.0040130666628697105, -0.7708507267559813, 0.011086071380050876, -2.3724298992749815, -0.009378465033986063, 1.553015113366214, 0.7932118726777069, 0.040081948041915894, 0.040081948041915894])","array('d', [-0.0005395767403797943, -0.00020059168494973107, -0.001104967853366303, -0.001151090399817405, -6.251968766741122e-05, 0.000999095009801327, 9.022797833495759e-05, 0.0, 0.0])","array('d', [-0.20196571946144104, -4.414320468902588, -0.8623764514923096, 22.70840835571289, 0.9838597774505615, 2.3065226078033447, -0.0826885998249054, 0.0, 0.0])"
1715132836,102746880,"array('d', [0.004014701200354803, -0.7708507297556956, 0.011076996837171726, -2.372423970030769, -0.009376053449366548, 1.5530115274639114, 0.7932099331224503, 0.040081948041915894, 0.040081948041915894])","array('d', [0.000903651932799291, 0.000688557701909398, 0.0002506010460633469, 0.0009446839174504102, -2.9472279104566178e-05, -0.00013752551599564085, 0.00040006733981326855, 0.0, 0.0])","array('d', [-0.22576943039894104, -4.414320468902588, -0.7354233264923096, 22.65683364868164, 0.9902684688568115, 2.3065226078033447, -0.0625469982624054, 0.0, 0.0])"
1715132836,169454550,"array('d', [0.004013992760701505, -0.7708490141286986, 0.011075801067434056, -2.3724281142173003, -0.009375580052208217, 1.5530158246427825, 0.7932107017204659, 0.040081948041915894, 0.040081948041915894])","array('d', [0.0008901433486924133, -0.00018119932788207777, 0.0004391131050162006, -0.0002465304953531602, 0.0014254161119789553, 0.0008563829887759966, -0.0006447417434167122, 0.0, 0.0])","array('d', [-0.22576943039894104, -4.438124179840088, -0.7631943225860596, 22.68460464477539, 0.9902684688568115, 2.3065226078033447, -0.0698712170124054, 0.0, 0.0])"
