time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.015650007873773575,Empty,0.30836,-0.00078,0.48569,0.01115,0.00309,0.0062,0.99998,0.00557,0.00156,0.00309,0.9999331275689296,0.0111454657978719,0.0030852848113022517,0.011126166743382515,-0.9999188608370693,0.006203237533431369,0.003154172445640189,-0.006168495314595629,-0.999976000142872
0.067,0.015650007873773575,Empty,0.30836,-0.00078,0.48569,0.01115,0.00309,0.0062,0.99998,0.00557,0.00156,0.00309,0.9999331928500791,0.011140130880762267,0.0030833943318836505,0.011120856428503134,-0.9999189452203262,0.006199156536719191,0.0031522038232048217,-0.00616445240306172,-0.9999760312815638
0.133,0.015650007873773575,Empty,0.30836,-0.00078,0.48569,0.01115,0.00309,0.0062,0.99998,0.00557,0.00156,0.00309,0.9999331548119552,0.011144199508545283,0.003081026634826794,0.01112494539540898,-0.9999189111520286,0.006197314780634321,0.0031498409102589785,-0.006162624266888188,-0.9999760499953912
0.2,0.015650007873773575,Empty,0.30836,-0.00078,0.48569,0.01115,0.00309,0.0062,0.99998,0.00557,0.00156,0.00309,0.9999331786983052,0.011141401152540698,0.003083394016577338,0.011122125176823205,-0.9999189281442588,0.006199634697910876,0.003152216657271047,-0.00616492653602849,-0.9999760283181546
0.266,0.015650007873773575,Empty,0.30836,-0.00078,0.48569,0.01115,0.00309,0.0062,0.99998,0.00557,0.00156,0.00309,0.9999330847362341,0.011147996313591146,0.0030900207234746254,0.01112867668405354,-0.9999188499374544,0.006200491514428796,0.003158893024644963,-0.006165688765325054,-0.9999760025505151
0.333,0.015650007873773575,Empty,0.30841,-0.00085,0.48582,0.01093,0.00341,0.0061,0.99998,0.00546,0.00172,0.00304,0.9999344597288236,0.010930361577735803,0.0034063826276367094,0.010909417757450524,-0.9999218384503769,0.0061075031077974145,0.0034728735967972145,-0.006069941169260909,-0.999975547182621
0.4,0.015650007873773575,Empty,0.30847,-0.0009,0.48613,0.01087,0.00405,0.00612,0.99998,0.00543,0.00204,0.00305,0.9999327760565342,0.01086447046723088,0.004050512231755739,0.01083958435938387,-0.9999225454464535,0.00611608688631178,0.004116646546490666,-0.006071769869797869,-0.9999730930539378
0.467,0.015650007873773575,Empty,0.30841,-0.00163,0.48564,0.01045,0.00289,0.00916,0.99997,0.00522,0.00147,0.00457,0.9999411016083678,0.010460089380618931,0.0028947960883902667,0.010433188342679034,-0.999903644326287,0.009156999727861383,0.0029903001939747143,-0.00912625844250141,-0.9999538836924384
0.533,0.015650007873773575,Empty,0.30844,-0.00156,0.48383,0.00837,-0.0017,0.01055,0.99998,0.00419,-0.00083,0.00528,0.9999634546178182,0.008376015350820054,-0.0017122487089508854,0.008393631228097387,-0.9999090782406104,0.010553776898334997,-0.0016236944309762635,-0.010567763190758509,-0.9999428413652148
0.6,0.015650007873773575,Empty,0.30871,0.00045,0.47866,0.01152,-0.01522,0.01309,0.99993,0.00581,-0.00757,0.00659,0.9998179355225146,0.011523827649118579,-0.015208458298266066,0.011723215004106613,-0.9998456375120772,0.013086916292027453,-0.01505529931499785,-0.01326282565596241,-0.9997986974477188
0.667,0.015650007873773575,Empty,0.30871,0.00405,0.46838,0.01687,-0.04099,0.01934,0.99971,0.00863,-0.02041,0.00984,0.9990176315338195,0.01685913733312827,-0.04098220800470251,0.017662269674456665,-0.9996574356724465,0.01931464560210301,-0.04064254069942919,-0.02001951031296178,-0.9989731743607156
0.733,0.015650007873773575,Empty,0.30857,0.00864,0.45415,0.01848,-0.07694,0.02907,0.99911,0.00979,-0.03832,0.01488,0.9968709877746109,0.018420099613820684,-0.07686958867776486,0.0207017780996554,-0.9993652519597276,0.028991887813364287,-0.07628676239548014,-0.030492509009378038,-0.9966195546834956
0.8,0.015650007873773575,Empty,0.31007,0.0145,0.44,0.0217,-0.10853,0.04169,0.99824,0.01196,-0.054,0.0214,0.9938810318659669,0.021573671874277944,-0.10832853353988703,0.02619655421820266,-0.9987977444419549,0.04143436067753715,-0.10730440365676619,-0.04401865944715329,-0.9932512887363104
0.867,0.015650007873773575,Empty,0.31524,0.02188,0.42766,0.02417,-0.12743,0.05697,0.99747,0.01387,-0.0633,0.02919,0.9916004446570891,0.023968218351745507,-0.12709871228657768,0.031358625990457745,-0.9979117984872097,0.056468389529126105,-0.1254798578731015,-0.05997972114861476,-0.9902813935034227
