,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.01596783474087715,0.30825,0.00178,0.48575,0.01545,0.0038,-0.00309,0.99997,0.00773,0.00189,-0.00156
1,0.067,0.01596783474087715,0.30824,0.00178,0.48575,0.01543,0.00378,-0.00309,0.99997,0.00772,0.00188,-0.00156
2,0.133,0.01596783474087715,0.30825,0.00178,0.48575,0.01543,0.00378,-0.00309,0.99997,0.00772,0.00188,-0.00156
3,0.2,0.01596783474087715,0.30825,0.00178,0.48575,0.01543,0.00378,-0.00307,0.99997,0.00772,0.00188,-0.00155
4,0.267,0.01596783474087715,0.30824,0.00178,0.48575,0.01543,0.00378,-0.00309,0.99997,0.00772,0.00188,-0.00156
5,0.333,0.01596783474087715,0.30825,0.00178,0.48575,0.01543,0.0038,-0.00309,0.99997,0.00772,0.00189,-0.00156
6,0.4,0.01596783474087715,0.30826,0.00179,0.48575,0.01545,0.00382,-0.00307,0.99997,0.00773,0.0019,-0.00155
7,0.467,0.01596783474087715,0.30838,0.00179,0.48566,0.01547,0.00374,-0.00307,0.99997,0.00774,0.00186,-0.00155
8,0.533,0.01596783474087715,0.30893,0.00182,0.48506,0.01552,0.00252,-0.0031,0.99997,0.00776,0.00125,-0.00156
9,0.6,0.01596783474087715,0.30989,0.00189,0.48353,0.01568,-0.0018,-0.00305,0.99997,0.00784,-0.00091,-0.00152
10,0.667,0.01596783474087715,0.312,0.00196,0.48121,0.01585,-0.00646,-0.00305,0.99996,0.00792,-0.00324,-0.0015
11,0.734,0.01596783474087715,0.31536,0.00203,0.47794,0.016,-0.01158,-0.00311,0.99995,0.00799,-0.0058,-0.00151
12,0.8,0.01596783474087715,0.32014,0.00224,0.47364,0.01655,-0.01686,-0.0031,0.99993,0.00826,-0.00844,-0.00148
13,0.867,0.01596783474087715,0.32578,0.00257,0.46825,0.01744,-0.02363,-0.00319,0.99989,0.0087,-0.01183,-0.00149
14,0.933,0.01596783474087715,0.33245,0.00301,0.46225,0.01859,-0.02893,-0.00315,0.99985,0.00927,-0.01448,-0.00144
15,1.0,0.01596783474087715,0.34071,0.00332,0.45494,0.01924,-0.03353,-0.00312,0.99981,0.00959,-0.01678,-0.0014
16,1.067,0.01596783474087715,0.34817,0.00344,0.44634,0.0194,-0.04419,-0.00325,0.99971,0.00966,-0.02211,-0.00141
17,1.133,0.01596783474087715,0.35486,0.00352,0.43695,0.01945,-0.059,-0.00344,0.99952,0.00967,-0.02951,-0.00143
18,1.2,0.01596783474087715,0.36194,0.0038,0.4271,0.02004,-0.07262,-0.00359,0.99929,0.00995,-0.03632,-0.00143
19,1.267,0.01596783474087715,0.3692,0.00435,0.41697,0.02136,-0.08445,-0.00373,0.99905,0.01059,-0.04223,-0.00141
20,1.333,0.01596783474087715,0.37617,0.00528,0.4069,0.02361,-0.09548,-0.00385,0.99879,0.0117,-0.04774,-0.00136
21,1.4,0.01596783474087715,0.38343,0.00646,0.39677,0.02642,-0.10392,-0.00394,0.99856,0.01309,-0.05196,-0.00128
22,1.467,0.01596783474087715,0.3907,0.00754,0.38707,0.02881,-0.10971,-0.00383,0.99839,0.01428,-0.05485,-0.00112
23,1.534,0.01596783474087715,0.39799,0.00826,0.37829,0.03021,-0.11258,-0.00355,0.9983,0.01498,-0.05628,-0.00092
