time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.015806622803211212,0.30795,0.00221,0.48483,0.01456,0.00048,-0.00494,0.99997,0.00728,0.00022,-0.00247
0.067,0.015806622803211212,0.30795,0.00221,0.48484,0.01456,0.00048,-0.00494,0.99997,0.00728,0.00022,-0.00247
0.133,0.015806622803211212,0.30795,0.00221,0.48483,0.01456,0.00048,-0.00494,0.99997,0.00728,0.00022,-0.00247
0.2,0.015806622803211212,0.30795,0.00221,0.48483,0.01458,0.00048,-0.00494,0.99997,0.00729,0.00022,-0.00247
0.267,0.015806622803211212,0.30795,0.00222,0.48483,0.01458,0.00048,-0.00494,0.99997,0.00729,0.00022,-0.00247
0.333,0.015806622803211212,0.30795,0.00221,0.48484,0.01456,0.00048,-0.00494,0.99997,0.00728,0.00022,-0.00247
0.4,0.015806622803211212,0.30795,0.00222,0.48484,0.01458,0.0005,-0.00494,0.99997,0.00729,0.00023,-0.00247
0.467,0.015806622803211212,0.30795,0.00224,0.48485,0.01466,0.00054,-0.0049,0.99997,0.00733,0.00025,-0.00245
0.533,0.015806622803211212,0.30795,0.00223,0.48485,0.01462,0.00052,-0.00492,0.99997,0.00731,0.00024,-0.00246
0.6,0.015806622803211212,0.30795,0.00223,0.48484,0.01462,0.0005,-0.00494,0.99997,0.00731,0.00023,-0.00247
0.667,0.015806294977664948,0.30795,0.00223,0.48484,0.01462,0.0005,-0.00494,0.99997,0.00731,0.00023,-0.00247
0.733,0.015806294977664948,0.30795,0.00223,0.48484,0.01464,0.00052,-0.00494,0.99997,0.00732,0.00024,-0.00247
0.8,0.015806622803211212,0.30796,0.00223,0.48483,0.01462,0.00048,-0.00494,0.99997,0.00731,0.00022,-0.00247
0.867,0.015806622803211212,0.30805,0.00224,0.48468,0.0146,4e-05,-0.00496,0.99997,0.0073,0.0,-0.00248
0.933,0.015806622803211212,0.30858,0.00223,0.48391,0.01455,-0.00198,-0.00499,0.99997,0.00727,-0.00101,-0.00249
1.0,0.015806622803211212,0.31014,0.00214,0.48221,0.01413,-0.0054,-0.0052,0.99997,0.00706,-0.00272,-0.00258
1.067,0.015806622803211212,0.31355,0.00188,0.4793,0.01083,-0.00899,-0.00581,0.99997,0.0054,-0.00451,-0.00288
1.133,0.015806622803211212,0.31926,0.00229,0.47535,0.00342,-0.01023,-0.00786,0.99998,0.00169,-0.00512,-0.00392
1.2,0.015806622803211212,0.32676,0.00268,0.47046,-0.00868,-0.00968,-0.00822,0.99997,-0.00436,-0.00482,-0.00413
1.267,0.015806622803211212,0.33578,0.00329,0.4645,-0.02363,-0.00824,-0.00818,0.99991,-0.01183,-0.00407,-0.00414
1.333,0.015806622803211212,0.34574,0.00419,0.45761,-0.04196,-0.00644,-0.00865,0.99977,-0.02099,-0.00313,-0.00439
1.4,0.015806622803211212,0.35583,0.00561,0.45014,-0.05979,-0.00507,-0.00959,0.99954,-0.0299,-0.00239,-0.00487
1.467,0.015806622803211212,0.36563,0.00759,0.4421,-0.07455,-0.00546,-0.00946,0.99929,-0.03728,-0.00255,-0.00483
1.533,0.015806622803211212,0.37533,0.00946,0.43385,-0.08787,-0.00531,-0.00916,0.99902,-0.04393,-0.00245,-0.00469
1.6,0.015806622803211212,0.38512,0.01111,0.42566,-0.10067,-0.00234,-0.00905,0.99872,-0.05032,-0.00094,-0.00458
1.667,0.015806622803211212,0.39546,0.01291,0.41757,-0.11292,0.00447,-0.00991,0.99839,-0.05642,0.00251,-0.00482
1.733,0.015806622803211212,0.40616,0.01462,0.41037,-0.12799,0.01626,-0.0118,0.99791,-0.0639,0.00849,-0.00537
1.8,0.015806622803211212,0.41727,0.01605,0.4047,-0.14577,0.03339,-0.01509,0.99719,-0.07268,0.0172,-0.00631
1.867,0.015806622803211212,0.42911,0.01751,0.4008,-0.16706,0.05612,-0.0205,0.99609,-0.08311,0.02881,-0.00787
1.933,0.015806622803211212,0.44075,0.0194,0.39847,-0.19138,0.08045,-0.02777,0.99458,-0.0949,0.04135,-0.00997
2.0,0.015806622803211212,0.45187,0.0212,0.39662,-0.22147,0.10387,-0.03687,0.99247,-0.10939,0.05362,-0.01256
2.067,0.015806622803211212,0.4615,0.02244,0.39435,-0.25417,0.12115,-0.04596,0.99003,-0.1251,0.06294,-0.01508
2.133,0.015806622803211212,0.4693,0.02326,0.39121,-0.28623,0.13229,-0.05414,0.98751,-0.14049,0.06925,-0.01731
2.2,0.015806622803211212,0.47578,0.024,0.38756,-0.31298,0.13823,-0.06043,0.9853,-0.15335,0.07288,-0.01901
2.267,0.015806622803211212,0.48208,0.02493,0.38351,-0.33441,0.14433,-0.06642,0.98334,-0.16354,0.07657,-0.02066
2.333,0.015806622803211212,0.48948,0.02622,0.37983,-0.34963,0.15466,-0.07355,0.98165,-0.17049,0.0824,-0.02267
2.4,0.015806622803211212,0.49695,0.02777,0.37605,-0.35944,0.16449,-0.07992,0.98037,-0.17478,0.08788,-0.0245
