time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.067,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.133,0.015918584540486336,0.30721,0.00133,0.48494,0.00482,-0.00119,-0.0033,1.0,0.00241,-0.0006,-0.00165
0.2,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.267,0.015918584540486336,0.30721,0.00132,0.48495,0.00482,-0.00115,-0.0033,1.0,0.00241,-0.00058,-0.00165
0.333,0.015918584540486336,0.30721,0.00132,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.4,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.467,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.533,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.6,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.667,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.733,0.015918584540486336,0.30721,0.00133,0.48495,0.0048,-0.00117,-0.0033,1.0,0.0024,-0.00059,-0.00165
0.8,0.015918584540486336,0.30721,0.00132,0.48494,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.867,0.015918584540486336,0.30721,0.00133,0.48495,0.00482,-0.00117,-0.0033,1.0,0.00241,-0.00059,-0.00165
0.933,0.015918584540486336,0.3072,0.00133,0.48495,0.00482,-0.00115,-0.0033,1.0,0.00241,-0.00058,-0.00165
1.0,0.015918584540486336,0.30721,0.00135,0.48495,0.00488,-0.00117,-0.00328,1.0,0.00244,-0.00059,-0.00164
1.067,0.015918584540486336,0.30721,0.00137,0.48493,0.00492,-0.00123,-0.00324,1.0,0.00246,-0.00062,-0.00162
1.133,0.015918584540486336,0.30724,0.00136,0.48482,0.00492,-0.00153,-0.00324,1.0,0.00246,-0.00077,-0.00162
1.2,0.015918584540486336,0.30735,0.00134,0.48445,0.00486,-0.00261,-0.00329,0.99999,0.00243,-0.00131,-0.00164
1.267,0.015918584540486336,0.30771,0.00127,0.48374,0.00471,-0.00489,-0.00343,0.99999,0.00235,-0.00245,-0.00171
1.333,0.015918584540486336,0.30847,0.00101,0.48221,0.00414,-0.00985,-0.00396,0.99998,0.00206,-0.00493,-0.00197
1.4,0.015918584540486336,0.30968,0.00059,0.47973,0.00322,-0.01787,-0.00489,0.99996,0.00159,-0.00894,-0.00243
1.467,0.015918584540486336,0.31138,0.00031,0.47617,0.00262,-0.02921,-0.00552,0.99989,0.00127,-0.01461,-0.00274
1.533,0.015918584540486336,0.31337,0.00032,0.47192,0.00268,-0.0427,-0.00554,0.99977,0.00128,-0.02135,-0.00274
1.6,0.015918584540486336,0.31573,0.00039,0.46743,0.00362,-0.0562,-0.0055,0.9996,0.00173,-0.0281,-0.0027
1.667,0.015918584540486336,0.31863,0.00047,0.46277,0.00401,-0.06886,-0.0054,0.9994,0.00191,-0.03443,-0.00263
1.733,0.015918584540486336,0.32237,0.00061,0.45852,0.00451,-0.07845,-0.00518,0.99923,0.00215,-0.03922,-0.0025
1.8,0.015918584540486336,0.32795,0.00071,0.45537,0.0047,-0.07807,-0.00495,0.99923,0.00225,-0.03903,-0.00238
1.867,0.015918584540486336,0.33558,0.0007,0.45339,0.00459,-0.06666,-0.00488,0.99944,0.00221,-0.03333,-0.00236
1.933,0.015918584540486336,0.34471,0.00068,0.45291,0.00443,-0.04685,-0.00477,0.99972,0.00216,-0.02343,-0.00233
2.0,0.015918584540486336,0.35369,0.00075,0.45344,0.00446,-0.02499,-0.0045,0.99992,0.0022,-0.0125,-0.00222
