time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603662119274,0.008892189371597026,-0.0004415580235864638,0.00888998985190681,-0.9999491744527979,-0.004755690444171522,-0.00048382408118061463,0.004751576511795607,-0.999988594152409
0.067,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603746618025,0.008891141486599918,-0.00044351921361109785,0.008888932553304862,-0.9999491828084104,-0.004755909887187938,-0.0004857821429148083,0.004751779020274338,-0.9999885922408576
0.133,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603038710713,0.008899038341100729,-0.000444745632990318,0.008896822688357953,-0.9999491047922369,-0.004757559380186469,-0.0004870607009031787,0.004753413700457791,-0.9999885838498689
0.2,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999602805048002,0.00890202453059391,-0.0004374608763405741,0.008899845176477184,-0.9999490947911021,-0.004754006972039175,-0.00047975889398707447,0.00474992481121187,-0.999988603957911
0.267,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999602743511407,0.008902316624847917,-0.0004455090375616363,0.008900099340829637,-0.9999490954647043,-0.004753389426823064,-0.00048780253684978735,0.004749235520652268,-0.9999886033403854
0.333,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.00888,-0.00044,-0.00476,0.99999,0.00444,-0.00023,-0.00238,0.999960415820552,0.008886585544077008,-0.00044202868343743004,0.008884384449770799,-0.999949230153931,-0.004754453439598398,-0.0004842570989154912,0.004750338085698781,-0.9999885998265852
0.4,0.015916943550109863,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999602296740917,0.008907522634992338,-0.0004417133067498194,0.008905323005356125,-0.9999490458707279,-0.0047540387452603685,-0.0004840375073639697,0.004749916075917718,-0.9999886019375238
0.467,0.015916943550109863,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999602844263946,0.008901375477077922,-0.0004416837102385082,0.008899176377884399,-0.9999491037464621,-0.004753375268420717,-0.00048397280824005924,0.00474925586415472,-0.9999886051046069
0.533,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603306955014,0.008895832713510743,-0.0004485484106455514,0.008893597995760005,-0.9999491235428389,-0.004759647108530643,-0.0004908666145443941,0.004755469087394269,-0.9999885722165657
0.6,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603281214173,0.008896449554987862,-0.0004420052303517378,0.008894249493224426,-0.9999491525808504,-0.004752323515009885,-0.00048426156194679806,0.004748203676612351,-0.9999886099614261
0.666,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.999960340994527,0.008895044511265715,-0.0004411589873246917,0.008892846072045435,-0.9999491413454524,-0.004757311344787865,-0.00048345304673789633,0.004753199515583627,-0.9999885866186258
0.733,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.9999603222675979,0.008896969877300431,-0.0004447667755715628,0.00889475610475099,-0.9999491422909257,-0.004753540309998144,-0.00048703626070083293,0.004749395608305555,-0.9999886029535721
0.8,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00474,0.99999,0.00445,-0.00023,-0.00237,0.9999602932694344,0.00890046228178254,-0.0004400632655072981,0.008898273281557512,-0.9999491353535714,-0.0047484142881503155,-0.0004823039641148675,0.004744309940945904,-0.9999886293883897
0.867,0.015917271375656128,Empty,0.30788,0.00032,0.48465,0.0089,-0.00044,-0.00476,0.99999,0.00445,-0.00023,-0.00238,0.999960286214499,0.008901701893810121,-0.000430925992170142,0.008899553285686534,-0.999949094394741,-0.004754636731926788,-0.0004732284144226134,0.004750612858473975,-0.9999886038012317
0.933,0.015917271375656128,Empty,0.30788,0.00034,0.48464,0.0089,-0.00046,-0.00476,0.99999,0.00445,-0.00024,-0.00238,0.9999602922188529,0.008899133605498877,-0.0004684086445555496,0.008896807017346298,-0.9999491193041732,-0.004754537591005692,-0.0005106960768524012,0.004750181457551703,-0.9999885874176955
1.0,0.015917271375656128,Empty,0.30794,0.00035,0.48451,0.00886,-0.00088,-0.00476,0.99999,0.00443,-0.00045,-0.00238,0.9999603172730389,0.008866090845530028,-0.0008696621882981789,0.008861855067716307,-0.9999494075616882,-0.004759184991944217,-0.000911813556457046,0.004751289314235055,-0.9999882968544636
1.067,0.015917271375656128,Empty,0.30838,0.00038,0.48362,0.00893,-0.00368,-0.00478,0.99999,0.00446,-0.00185,-0.00238,0.9999534046618074,0.00892323767327341,-0.00368297905044136,0.008905606358048046,-0.9999489377539418,-0.0047761972487003045,-0.0037254101324835365,0.004743175538526058,-0.9999818116371695
1.133,0.015917271375656128,Empty,0.3094,0.00067,0.48152,0.00958,-0.01048,-0.00429,0.99997,0.00478,-0.00525,-0.00212,0.9998990472819951,0.009591320156816463,-0.010483406994286902,0.009546764463348123,-0.9999452178190469,-0.004291928366151053,-0.010523997949437753,0.004191412466969136,-0.9999358367058819
1.2,0.015917271375656128,Empty,0.31084,0.00123,0.47834,0.01084,-0.02062,-0.00345,0.99993,0.0054,-0.01032,-0.00167,0.9997285555152433,0.010842575628131124,-0.020621683761354693,0.010773588152684588,-0.9999359993542263,-0.003453547998976486,-0.02065780931564129,0.0032304410245595824,-0.9997813856864238
1.267,0.015917271375656128,Empty,0.31299,0.00234,0.47415,0.0133,-0.03337,-0.00224,0.99984,0.00663,-0.01669,-0.00101,0.9993549018165326,0.013299481362788856,-0.033360215987747174,0.013232038974887672,-0.9999099401086176,-0.002241610257796768,-0.033387023824165044,0.001798740520930881,-0.9994408792783609
1.333,0.015917271375656128,Empty,0.31588,0.00424,0.46923,0.0179,-0.04689,0.00032,0.99969,0.00895,-0.02344,0.00037,0.9987409834412395,0.017882553202648477,-0.046868563939814034,0.01791753603107399,-0.9998394148020411,0.00032636005737246565,-0.046855201391106584,-0.00116571834777243,-0.9989010117140401
1.4,0.015917271375656128,Empty,0.32017,0.00719,0.46436,0.02522,-0.05541,0.00484,0.99953,0.01267,-0.02767,0.00277,0.9981470443507378,0.025182875785093095,-0.05539224332953832,0.025489317979908388,-0.9996634137412721,0.004832586891642423,-0.05525190062618065,-0.006235542826308064,-0.9984529760999543
1.467,0.015916943550109863,Empty,0.32672,0.01115,0.46062,0.03409,-0.05156,0.01107,0.9995,0.01718,-0.02568,0.00597,0.9980912283677166,0.03402658137986264,-0.051537283737330894,0.03463994931676012,-0.9993387107348548,0.011055095573097893,-0.05112703557566051,-0.01281924281686042,-0.9986098804071825
1.533,0.015916943550109863,Empty,0.33388,0.01651,0.45763,0.04558,-0.0412,0.02023,0.99947,0.02299,-0.02036,0.01058,0.9981138801610195,0.045525531006995246,-0.041183834892407206,0.04638734963681673,-0.998718905346081,0.02021786086601189,-0.04021064564994804,-0.022090136506069773,-0.998947010529366
