time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
3.067,0.015806952491402626,0.5066,0.25946,0.097,-0.06723,-0.09857,-0.05594,0.99779,-0.03493,-0.04828,-0.02957
3.133,0.015806952491402626,0.50489,0.25931,0.09197,-0.06724,-0.10482,-0.05401,0.99765,-0.03497,-0.05143,-0.02871
3.2,0.015806952491402626,0.50372,0.25921,0.08727,-0.06759,-0.10881,-0.0532,0.99755,-0.03517,-0.05343,-0.02838
3.267,0.015806952491402626,0.50242,0.259,0.083,-0.06784,-0.11344,-0.05191,0.99743,-0.03532,-0.05576,-0.02782
3.333,0.015806952491402626,0.50082,0.25872,0.07925,-0.06784,-0.11917,-0.04994,0.99729,-0.03533,-0.05865,-0.02693
3.4,0.01580728031694889,0.49944,0.25856,0.07632,-0.06767,-0.12414,-0.04829,0.99716,-0.03525,-0.06116,-0.02618
3.467,0.01580728031694889,0.49847,0.25868,0.07458,-0.06685,-0.12724,-0.04746,0.99709,-0.03485,-0.06273,-0.02579
3.533,0.015806952491402626,0.49796,0.25925,0.07417,-0.06491,-0.12818,-0.04773,0.99709,-0.0339,-0.06322,-0.02588
3.6,0.015806952491402626,0.49727,0.26066,0.07426,-0.06222,-0.1286,-0.04879,0.9971,-0.0326,-0.06345,-0.02633
3.667,0.015806952491402626,0.49657,0.26215,0.07438,-0.05967,-0.12891,-0.04975,0.99712,-0.03136,-0.06362,-0.02673
3.733,0.01580728031694889,0.49682,0.26303,0.07484,-0.05856,-0.12786,-0.05051,0.99716,-0.03082,-0.0631,-0.02706
3.8,0.01580728031694889,0.49716,0.26303,0.07507,-0.05894,-0.12734,-0.0508,0.99717,-0.03101,-0.06283,-0.02721
3.867,0.01580728031694889,0.49731,0.26244,0.07495,-0.06007,-0.12747,-0.05035,0.99716,-0.03156,-0.06289,-0.02702
3.933,0.015806952491402626,0.49733,0.26221,0.07487,-0.06061,-0.12766,-0.05021,0.99714,-0.03183,-0.06298,-0.02697
4.0,0.015806952491402626,0.49729,0.26223,0.07486,-0.06057,-0.12772,-0.05021,0.99714,-0.03181,-0.06301,-0.02697
4.067,0.015806952491402626,0.49729,0.26221,0.07485,-0.06061,-0.12776,-0.05018,0.99714,-0.03183,-0.06303,-0.02696
4.133,0.015806952491402626,0.49728,0.26222,0.07485,-0.06059,-0.12776,-0.05018,0.99714,-0.03182,-0.06303,-0.02696
4.2,0.015806952491402626,0.49729,0.26221,0.07485,-0.06063,-0.12776,-0.05018,0.99714,-0.03184,-0.06303,-0.02696
4.267,0.015806952491402626,0.49728,0.26221,0.07485,-0.06061,-0.12776,-0.05018,0.99714,-0.03183,-0.06303,-0.02696
