,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.016108034178614616,0.3082,0.00113,0.48538,0.01073,0.00231,-0.00551,0.99998,0.00537,0.00114,-0.00276
1,0.067,0.016108034178614616,0.30836,0.00114,0.48515,0.01102,0.00177,-0.00553,0.99998,0.00551,0.00087,-0.00277
2,0.133,0.016108034178614616,0.30904,0.00112,0.48432,0.01552,-0.00016,-0.0056,0.99997,0.00776,-0.0001,-0.0028
3,0.2,0.01610836200416088,0.31108,0.00114,0.4823,0.01987,-0.00354,-0.00566,0.99995,0.00993,-0.0018,-0.00281
4,0.267,0.01610836200416088,0.31583,0.00125,0.47854,0.02026,-0.00646,-0.00569,0.99994,0.01012,-0.00326,-0.00281
5,0.334,0.016108034178614616,0.32295,0.00126,0.47337,0.02019,-0.00872,-0.00575,0.99994,0.01008,-0.00439,-0.00283
6,0.4,0.016108034178614616,0.33235,0.0013,0.46663,0.02019,-0.0098,-0.00574,0.99993,0.01008,-0.00493,-0.00282
7,0.467,0.016108034178614616,0.34354,0.00138,0.45858,0.02033,-0.00914,-0.00573,0.99993,0.01015,-0.0046,-0.00282
8,0.533,0.01610836200416088,0.35744,0.00143,0.44883,0.02231,-0.0045,-0.00563,0.99993,0.01115,-0.00228,-0.00279
9,0.6,0.01610836200416088,0.37253,0.00154,0.43813,0.02834,0.00206,-0.00543,0.9999,0.01417,0.00099,-0.00273
10,0.667,0.01610836200416088,0.38799,0.0016,0.42632,0.03812,0.00848,-0.00512,0.99981,0.01907,0.00419,-0.00264
11,0.733,0.01610836200416088,0.40347,0.00164,0.41512,0.04186,0.01742,-0.00468,0.99974,0.02095,0.00866,-0.00252
12,0.8,0.01610836200416088,0.4201,0.00182,0.40558,0.04206,0.03245,-0.00398,0.99964,0.02106,0.01618,-0.00233
13,0.867,0.01610836200416088,0.43695,0.00192,0.39726,0.04292,0.04948,-0.00318,0.99946,0.02149,0.0247,-0.00212
14,0.933,0.01610836200416088,0.45191,0.00193,0.38903,0.05052,0.06094,-0.00216,0.99922,0.02528,0.03043,-0.00185
15,1.0,0.01610836200416088,0.46528,0.00198,0.38042,0.06612,0.06574,-0.00085,0.99891,0.03305,0.03283,-0.00151
16,1.067,0.01610836200416088,0.47728,0.00224,0.37198,0.08768,0.06643,0.00069,0.99849,0.04379,0.03319,-0.00111
17,1.133,0.01610836200416088,0.48902,0.00283,0.36363,0.11746,0.06657,0.00269,0.99772,0.05862,0.0333,-0.00061
18,1.2,0.01610836200416088,0.50028,0.00408,0.35568,0.1603,0.06603,0.00541,0.99625,0.07993,0.03312,5e-05
19,1.267,0.01610836200416088,0.51197,0.00579,0.34833,0.21501,0.06659,0.00902,0.99368,0.10709,0.03358,0.00091
20,1.334,0.01610836200416088,0.52397,0.00854,0.34158,0.27866,0.06779,0.01341,0.98975,0.13857,0.03449,0.00193
21,1.4,0.01610836200416088,0.53475,0.01167,0.33452,0.34229,0.06498,0.01672,0.98488,0.16995,0.03343,0.0027
22,1.467,0.01610836200416088,0.54434,0.01475,0.32651,0.40451,0.05722,0.0177,0.97923,0.20054,0.0298,0.00292
23,1.533,0.01610836200416088,0.55288,0.01741,0.31759,0.46269,0.04619,0.01608,0.97311,0.22904,0.02432,0.00253
24,1.6,0.01610836200416088,0.55999,0.01916,0.30799,0.5159,0.03341,0.01208,0.96679,0.25496,0.01769,0.00158
25,1.667,0.01610836200416088,0.56599,0.02065,0.29747,0.56759,0.01988,0.00605,0.95995,0.27996,0.01039,0.00012
26,1.733,0.01610836200416088,0.57069,0.02189,0.28661,0.6188,0.00647,-0.00165,0.95251,0.30449,0.00283,-0.00177
27,1.8,0.01610836200416088,0.57399,0.02285,0.27505,0.67334,-0.00733,-0.01157,0.94384,0.33032,-0.00537,-0.00425
28,1.867,0.01610836200416088,0.57611,0.02375,0.26322,0.73308,-0.02051,-0.02358,0.9335,0.35823,-0.0138,-0.00733
