time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.015690065920352936,0.30836,-0.00091,0.48592,-0.01069,0.00375,0.00524,0.99998,-0.00535,0.00186,0.00263
0.067,0.015690065920352936,0.30837,-0.00092,0.48593,-0.01073,0.00379,0.00524,0.99998,-0.00537,0.00188,0.00263
0.133,0.015690065920352936,0.3084,-0.00091,0.486,-0.01131,0.00395,0.00524,0.99998,-0.00566,0.00196,0.00263
0.2,0.015690065920352936,0.30843,-0.00033,0.48591,-0.01185,0.00374,0.0059,0.99998,-0.00593,0.00185,0.00296
0.267,0.015690065920352936,0.30871,0.0022,0.48472,-0.01114,0.00069,0.0088,0.99997,-0.00557,0.00032,0.0044
0.333,0.015690065920352936,0.30942,0.00641,0.48218,-0.00468,-0.00651,0.01352,0.99997,-0.00232,-0.00327,0.00675
0.4,0.015690065920352936,0.31066,0.01145,0.47826,0.0043,-0.0182,0.0201,0.99991,0.00224,-0.00908,0.01007
0.467,0.015690065920352936,0.31248,0.01725,0.47269,0.01222,-0.0349,0.02883,0.99972,0.00636,-0.01736,0.01452
0.533,0.015690065920352936,0.31487,0.023,0.46622,0.01512,-0.05443,0.03845,0.99941,0.00808,-0.02706,0.01942
0.6,0.015690065920352936,0.31793,0.02806,0.45871,0.00977,-0.07554,0.04915,0.99897,0.00581,-0.03763,0.02474
0.666,0.015690065920352936,0.32123,0.03297,0.45023,0.00209,-0.09851,0.06044,0.99833,0.00253,-0.04918,0.03023
0.733,0.015690065920352936,0.32603,0.0391,0.44097,0.00273,-0.1179,0.07196,0.99761,0.00348,-0.05883,0.03599
0.8,0.015690065920352936,0.3329,0.04554,0.43268,0.00883,-0.12665,0.08091,0.99716,0.00696,-0.06305,0.04064
0.867,0.015690065920352936,0.34336,0.05252,0.42593,0.02497,-0.118,0.08483,0.99725,0.01495,-0.05838,0.04306
0.933,0.015690065920352936,0.35621,0.06028,0.41969,0.04298,-0.09468,0.08647,0.99767,0.02349,-0.04634,0.04418
1.0,0.015690065920352936,0.37077,0.06874,0.41315,0.06202,-0.06138,0.08669,0.99807,0.03229,-0.0293,0.04424
1.067,0.015690065920352936,0.38591,0.07778,0.40563,0.07847,-0.02662,0.08664,0.99818,0.03976,-0.01159,0.04379
1.133,0.015690065920352936,0.39852,0.08666,0.39644,0.0867,-0.00399,0.08646,0.99812,0.04338,-0.00012,0.04326
1.2,0.015690065920352936,0.40793,0.09613,0.3847,0.09238,0.00282,0.08675,0.998,0.04607,0.00341,0.04325
1.267,0.015690065920352936,0.41364,0.106,0.36995,0.09455,-0.00761,0.08757,0.99791,0.04738,-0.00173,0.0439
1.333,0.015690065920352936,0.41578,0.11481,0.35276,0.09441,-0.03438,0.0895,0.9977,0.0479,-0.01504,0.04549
1.4,0.015690065920352936,0.41734,0.12377,0.33439,0.09526,-0.06318,0.09069,0.99727,0.04897,-0.02936,0.04676
1.467,0.015690065920352936,0.42136,0.13385,0.31593,0.09214,-0.07822,0.08787,0.99713,0.04769,-0.037,0.04564
1.533,0.015690065920352936,0.42862,0.14375,0.2985,0.07962,-0.07499,0.08186,0.99761,0.04127,-0.0358,0.04235
1.6,0.015690065920352936,0.43782,0.1526,0.2824,0.06645,-0.05982,0.07006,0.99835,0.03423,-0.02871,0.03598
1.667,0.015690065920352936,0.44749,0.16145,0.26738,0.06008,-0.03892,0.05361,0.99898,0.03054,-0.01864,0.02737
1.733,0.015690065920352936,0.45574,0.16939,0.25336,0.06788,-0.02089,0.03702,0.99919,0.03412,-0.00981,0.01885
