time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.01614382117986679,0.3083,0.00184,0.48575,0.01247,0.00374,-0.00682,0.99997,0.00624,0.00185,-0.00342
0.067,0.01614382117986679,0.3083,0.00184,0.48576,0.01247,0.00376,-0.00682,0.99997,0.00624,0.00186,-0.00342
0.133,0.01614382117986679,0.3083,0.00184,0.48576,0.01247,0.00376,-0.00682,0.99997,0.00624,0.00186,-0.00342
0.2,0.01614382117986679,0.3083,0.00184,0.48575,0.01247,0.00374,-0.00682,0.99997,0.00624,0.00185,-0.00342
0.267,0.01614382117986679,0.3083,0.00184,0.48575,0.01247,0.00374,-0.00682,0.99997,0.00624,0.00185,-0.00342
0.333,0.01614382117986679,0.30829,0.00184,0.48576,0.01245,0.00376,-0.00684,0.99997,0.00623,0.00186,-0.00343
0.4,0.01614382117986679,0.30833,0.00186,0.48595,0.01251,0.00422,-0.00679,0.99997,0.00626,0.00209,-0.00341
0.467,0.01614382117986679,0.30846,0.00195,0.48571,0.01261,0.00356,-0.00702,0.99997,0.00631,0.00176,-0.00352
0.533,0.01614382117986679,0.30959,0.00291,0.48448,0.01407,0.00158,-0.00825,0.99997,0.00704,0.00076,-0.00413
0.6,0.01614382117986679,0.3122,0.00596,0.48188,0.01965,-0.00279,-0.00713,0.99994,0.00982,-0.00143,-0.00355
0.667,0.01614382117986679,0.31541,0.01185,0.47737,0.03435,-0.0132,-0.00381,0.99983,0.01716,-0.00663,-0.00179
0.733,0.01614382117986679,0.31973,0.02025,0.4713,0.05391,-0.02634,0.00333,0.99955,0.02697,-0.01312,0.00202
0.8,0.01614382117986679,0.326,0.03021,0.46455,0.07409,-0.03458,0.01285,0.99914,0.03714,-0.01704,0.00706
0.867,0.01614382117986679,0.33542,0.04238,0.45749,0.09397,-0.03201,0.02369,0.99869,0.04715,-0.01543,0.01258
0.933,0.01614382117986679,0.34594,0.05583,0.45028,0.11078,-0.02374,0.03404,0.99824,0.05555,-0.01091,0.01765
1.0,0.01614382117986679,0.35568,0.07045,0.44215,0.1169,-0.01555,0.04411,0.99801,0.05857,-0.00647,0.02247
1.067,0.01614382117986679,0.36466,0.0855,0.43342,0.11213,-0.00699,0.05278,0.99807,0.05611,-0.00201,0.02654
1.133,0.01614382117986679,0.37381,0.10087,0.42453,0.10262,0.00529,0.05854,0.99826,0.05119,0.00414,0.02909
1.2,0.01614382117986679,0.38254,0.11659,0.41576,0.09198,0.01881,0.06134,0.99844,0.04566,0.0108,0.0302
1.266,0.01614382117986679,0.3911,0.13215,0.40721,0.08028,0.03316,0.06086,0.99862,0.0396,0.01778,0.02973
1.333,0.01614382117986679,0.39984,0.14801,0.39813,0.06819,0.04888,0.05672,0.99874,0.03337,0.02538,0.0275
1.4,0.01614382117986679,0.40816,0.16352,0.38826,0.06278,0.06191,0.04994,0.99874,0.03059,0.03171,0.02397
1.467,0.01614382117986679,0.41602,0.17952,0.37767,0.06419,0.07217,0.04169,0.99864,0.03131,0.03672,0.01966
1.533,0.01614382117986679,0.42339,0.19473,0.36668,0.06757,0.07927,0.03232,0.99854,0.03311,0.04014,0.0148
1.6,0.01614382117986679,0.43079,0.20866,0.3556,0.07257,0.08323,0.02189,0.99843,0.03579,0.04197,0.00942
1.667,0.01614382117986679,0.43779,0.22029,0.3445,0.07633,0.08201,0.01237,0.99842,0.03787,0.0412,0.00461
1.733,0.01614382117986679,0.44592,0.23026,0.33371,0.08104,0.08007,0.00231,0.99838,0.04043,0.04004,-0.00047
1.8,0.01614382117986679,0.45456,0.23753,0.32344,0.08443,0.07669,-0.0072,0.99836,0.04231,0.03815,-0.00521
1.867,0.01614382117986679,0.46333,0.24274,0.31295,0.08503,0.06915,-0.01522,0.99846,0.04274,0.03421,-0.00907
1.933,0.01614382117986679,0.47117,0.24628,0.30229,0.08345,0.05685,-0.02092,0.99866,0.04199,0.02796,-0.01163
2.0,0.01614382117986679,0.47808,0.24931,0.29079,0.08167,0.04027,-0.02484,0.99888,0.04106,0.01961,-0.01323
2.067,0.01614382117986679,0.48401,0.25257,0.27843,0.08092,0.02106,-0.02773,0.99902,0.04059,0.00996,-0.01428
2.133,0.01614382117986679,0.48945,0.25596,0.26543,0.07934,0.00091,-0.03037,0.9991,0.03966,-0.00015,-0.01519
2.2,0.01614382117986679,0.49418,0.25894,0.25208,0.07312,-0.02046,-0.03219,0.99916,0.03638,-0.01081,-0.01571
2.267,0.01614382117986679,0.49813,0.26149,0.23866,0.06351,-0.042,-0.0331,0.99915,0.03139,-0.02151,-0.01587
2.333,0.01614382117986679,0.50254,0.26406,0.22561,0.04923,-0.05992,-0.03474,0.99911,0.02408,-0.03037,-0.01662
2.4,0.01614382117986679,0.50725,0.26621,0.21344,0.02884,-0.07425,-0.03648,0.99905,0.01373,-0.03737,-0.01769
2.467,0.01614382117986679,0.51134,0.26742,0.20116,0.00504,-0.08971,-0.03651,0.99883,0.0017,-0.04488,-0.01812
2.533,0.01614382117986679,0.51448,0.26721,0.18885,-0.01603,-0.10647,-0.03444,0.9984,-0.00892,-0.05306,-0.01762
2.6,0.01614382117986679,0.51662,0.26594,0.17677,-0.02762,-0.1234,-0.03176,0.99786,-0.01476,-0.06143,-0.0167
2.667,0.01614382117986679,0.51705,0.26358,0.16401,-0.03365,-0.14248,-0.02674,0.99722,-0.01773,-0.07094,-0.01453
2.733,0.01614382117986679,0.51598,0.26093,0.15135,-0.03918,-0.16196,-0.02064,0.99646,-0.02036,-0.08067,-0.01187
2.8,0.016144150868058205,0.5139,0.25899,0.1392,-0.04301,-0.17856,-0.01581,0.99574,-0.02212,-0.08897,-0.00979
2.867,0.016144150868058205,0.51226,0.2581,0.12803,-0.04532,-0.18959,-0.01388,0.99522,-0.02321,-0.09447,-0.00905
2.933,0.016144150868058205,0.51185,0.25731,0.11873,-0.04601,-0.19448,-0.01398,0.99497,-0.02357,-0.0969,-0.00919
3.0,0.01614382117986679,0.51285,0.25663,0.11132,-0.04875,-0.1932,-0.0164,0.99499,-0.02505,-0.09622,-0.01051
3.067,0.01614382117986679,0.5148,0.25679,0.10592,-0.05127,-0.18659,-0.02128,0.99524,-0.02651,-0.09285,-0.01298
3.133,0.01614382117986679,0.51659,0.25774,0.10179,-0.05224,-0.17898,-0.02687,0.99554,-0.02721,-0.08898,-0.01571
3.2,0.01614382117986679,0.5178,0.25882,0.09813,-0.04995,-0.17288,-0.03166,0.9958,-0.02624,-0.0859,-0.01792
3.267,0.01614382117986679,0.51867,0.25942,0.09471,-0.04645,-0.1684,-0.03503,0.996,-0.02461,-0.08366,-0.0194
3.333,0.01614382117986679,0.51925,0.25991,0.09137,-0.04526,-0.1654,-0.03808,0.99611,-0.02412,-0.08214,-0.02084
