time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.01571928709745407,0.30828,-0.0002,0.48539,0.01383,0.0023,0.00528,0.99997,0.00691,0.00117,0.00263
0.067,0.01571928709745407,0.30828,-0.00019,0.48538,0.01383,0.00228,0.00528,0.99997,0.00691,0.00116,0.00263
0.133,0.01571928709745407,0.30829,-0.0002,0.48538,0.01383,0.00226,0.00528,0.99997,0.00691,0.00115,0.00263
0.2,0.01571928709745407,0.30828,-0.00019,0.48539,0.01385,0.0023,0.00528,0.99997,0.00692,0.00117,0.00263
0.267,0.01571928709745407,0.30832,-0.00012,0.48558,0.01399,0.00274,0.0054,0.99997,0.00699,0.00139,0.00269
0.333,0.01571928709745407,0.30848,9e-05,0.4859,0.01457,0.0035,0.00557,0.99997,0.00728,0.00177,0.00277
0.4,0.01571928709745407,0.3088,0.00022,0.48602,0.01739,0.00423,0.0055,0.99996,0.00869,0.00214,0.00273
0.467,0.015719614923000336,0.3095,-0.00015,0.48469,0.0256,0.00148,0.0047,0.99992,0.0128,0.00077,0.00234
0.533,0.015719614923000336,0.31314,-0.00025,0.48291,0.04437,0.00358,0.00472,0.99975,0.02218,0.00184,0.00232
0.6,0.01571928709745407,0.31958,-0.00112,0.47943,0.06997,0.00651,0.00603,0.99938,0.03497,0.00336,0.0029
0.667,0.01571928709745407,0.32847,-0.00214,0.47438,0.09925,0.00997,0.00644,0.99875,0.04959,0.00514,0.00297
0.733,0.01571928709745407,0.33961,-0.00373,0.46743,0.12979,0.01322,0.00541,0.99787,0.06483,0.00677,0.00227
0.8,0.01571928709745407,0.3522,-0.00458,0.45998,0.15812,0.01882,0.00558,0.99683,0.07895,0.0096,0.00204
0.867,0.01571928709745407,0.36673,-0.00577,0.45122,0.18956,0.02793,0.00693,0.99541,0.09458,0.01423,0.00213
0.933,0.01571928709745407,0.38126,-0.00661,0.4413,0.22651,0.036,0.00929,0.99343,0.11291,0.01841,0.00258
1.0,0.01571928709745407,0.39525,-0.00747,0.42989,0.27151,0.03916,0.01347,0.9906,0.13518,0.02031,0.00402
1.067,0.01571928709745407,0.40776,-0.00772,0.41709,0.31827,0.03625,0.0151,0.9872,0.1583,0.01909,0.00458
1.133,0.01571928709745407,0.41835,-0.00796,0.405,0.36794,0.02934,0.01608,0.98301,0.18279,0.01589,0.00522
1.2,0.01571928709745407,0.42829,-0.00802,0.39344,0.42469,0.02218,0.01558,0.97747,0.21065,0.01248,0.00528
1.267,0.01571928709745407,0.43903,-0.00845,0.38311,0.48843,0.0208,0.01827,0.97026,0.24168,0.0123,0.00635
1.333,0.015719614923000336,0.45008,-0.00988,0.37369,0.55521,0.02257,0.02197,0.96163,0.2739,0.01386,0.00747
1.4,0.015719614923000336,0.46157,-0.01186,0.36484,0.6235,0.02724,0.02738,0.95168,0.30649,0.01716,0.00885
1.467,0.015719614923000336,0.47337,-0.01366,0.35732,0.69084,0.03375,0.03625,0.94075,0.3382,0.02201,0.01134
1.533,0.01571928709745407,0.48532,-0.01518,0.34974,0.76554,0.03932,0.04751,0.92737,0.37288,0.0271,0.01469
1.6,0.01571928709745407,0.49688,-0.01631,0.34225,0.83631,0.04274,0.05908,0.91349,0.40523,0.03151,0.01831
1.667,0.01571928709745407,0.50756,-0.01691,0.33315,0.9006,0.04164,0.06697,0.89992,0.43427,0.0333,0.02108
1.733,0.01571928709745407,0.51659,-0.01677,0.32261,0.96151,0.03595,0.06893,0.88626,0.46155,0.03186,0.02224
1.8,0.01571928709745407,0.52496,-0.01546,0.31065,1.02684,0.02805,0.0673,0.87073,0.49042,0.02873,0.02242
1.867,0.015719614923000336,0.5334,-0.01288,0.29873,1.09076,0.02082,0.06507,0.85461,0.51815,0.02577,0.02241
1.933,0.015719614923000336,0.54198,-0.00924,0.28751,1.1485,0.01529,0.0635,0.83929,0.54271,0.02366,0.0225
2.0,0.015719614923000336,0.55047,-0.00387,0.27585,1.20075,0.01056,0.06081,0.82482,0.56455,0.02153,0.0221
2.067,0.01571928709745407,0.55643,0.00238,0.26319,1.24649,0.00441,0.05044,0.81176,0.58344,0.01651,0.01919
2.133,0.01571928709745407,0.55959,0.01001,0.2492,1.2946,-0.00317,0.03115,0.7976,0.60298,0.00813,0.01338
2.2,0.01571928709745407,0.56159,0.01795,0.23395,1.34296,-0.01003,0.00787,0.78287,0.62215,-0.00148,0.0062
2.267,0.01571928709745407,0.5639,0.02535,0.21898,1.38333,-0.0141,-0.01233,0.77018,0.63776,-0.00936,-0.00025
2.333,0.01571928709745407,0.56774,0.03167,0.20527,1.40792,-0.01525,-0.02347,0.76227,0.64711,-0.01341,-0.00401
2.4,0.01571928709745407,0.57331,0.03759,0.19272,1.42317,-0.01459,-0.02489,0.7573,0.6529,-0.01365,-0.00466
2.467,0.01571928709745407,0.5796,0.04274,0.18148,1.43346,-0.01251,-0.01798,0.75395,0.65684,-0.01062,-0.00267
2.533,0.01571928709745407,0.58577,0.04657,0.17127,1.43897,-0.00972,-0.00775,0.75214,0.65897,-0.00621,0.00029
2.6,0.01571928709745407,0.59013,0.0487,0.16067,1.4417,-0.00759,-0.00076,0.75123,0.66002,-0.0031,0.00222
2.667,0.01571928709745407,0.59099,0.04916,0.14877,1.4425,-0.00795,-0.00417,0.75098,0.66031,-0.00436,0.00106
2.734,0.015719614923000336,0.58881,0.04895,0.13637,1.44901,-0.01032,-0.0165,0.74882,0.6627,-0.00933,-0.00276
2.8,0.015719614923000336,0.58551,0.04856,0.12412,1.46663,-0.01301,-0.03293,0.74292,0.66915,-0.01585,-0.00788
2.867,0.015719614923000336,0.5826,0.04817,0.11346,1.4908,-0.01435,-0.04662,0.73471,0.67794,-0.02108,-0.01226
2.933,0.015719614923000336,0.58153,0.04841,0.10553,1.51109,-0.01357,-0.05112,0.72776,0.68532,-0.02246,-0.01395
3.0,0.015719614923000336,0.58338,0.04933,0.10044,1.51671,-0.01146,-0.0416,0.72589,0.68748,-0.01846,-0.01116
3.067,0.01571928709745407,0.58804,0.05102,0.09842,1.51859,-0.00764,-0.01862,0.72531,0.68835,-0.00918,-0.00412
3.133,0.01571928709745407,0.59237,0.05317,0.09801,1.52107,-0.00366,0.00408,0.72446,0.68931,8e-05,0.00274
