time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.016366103664040565,Empty,0.30818,0.00209,0.48525,-0.00984,0.00156,-0.00433,0.99999,-0.00492,0.00079,-0.00216,0.9999503933727203,-0.009836640055039203,0.0015656647689865826,-0.0098297891682253,-0.9999423337891846,-0.004324851575116782,0.0016081164912678126,0.004309246879229401,-0.9999894221203962
0.067,0.016366103664040565,Empty,0.30818,0.00209,0.48525,-0.00984,0.00156,-0.00433,0.99999,-0.00492,0.00079,-0.00216,0.99995038293202,-0.009837587411153259,0.0015663805521833548,-0.00983073823462316,-0.9999423373651168,-0.004321866558489314,0.0016088069706017565,0.004306253442958164,-0.9999894339048868
0.133,0.016366103664040565,Empty,0.30818,0.00209,0.48524,-0.00984,0.00156,-0.00433,0.99999,-0.00492,0.00079,-0.00216,0.9999503278226484,-0.00984344599253767,0.0015647550511015836,-0.009836610158956705,-0.9999422967960454,-0.004317890553323751,0.0016071676821849637,0.004302284188866457,-0.9999894536257867
0.2,0.01636643148958683,Empty,0.30818,0.00209,0.48525,-0.00984,0.00156,-0.00433,0.99999,-0.00492,0.00079,-0.00216,0.9999503409831544,-0.009842256198531796,0.0015638288257621223,-0.009835407847757105,-0.9999422641824618,-0.004328169834947174,0.0016063374932126617,0.0043125740079829784,-0.9999894106365748
0.267,0.01636643148958683,Empty,0.30818,0.00209,0.48525,-0.00984,0.00156,-0.00433,0.99999,-0.00492,0.00079,-0.00216,0.9999503772538125,-0.009838017089513762,0.0015673065126169026,-0.009831155891255827,-0.9999423116843215,-0.004326855354314677,0.0016097837742636131,0.004311232209214722,-0.9999894108804545
0.333,0.01636643148958683,Empty,0.30818,0.0021,0.48525,-0.00982,0.00156,-0.00433,0.99999,-0.00491,0.00079,-0.00216,0.9999505189426361,-0.009823944616450808,0.0015651768352599388,-0.00981710617149889,-0.9999424859089547,-0.004318483603908876,0.001607511359288919,0.004302904413605029,-0.9999894504047714
0.4,0.01636643148958683,Empty,0.30818,0.00209,0.48525,-0.00984,0.00158,-0.00433,0.99999,-0.00492,0.0008,-0.00216,0.9999503468781924,-0.009839701566199233,0.0015760873297409157,-0.009832794574823056,-0.999942274377161,-0.004331750717583487,0.001618619483438438,0.00431603828969214,-0.999989375885789
0.467,0.01636643148958683,Empty,0.30818,0.00209,0.48525,-0.00982,0.00156,-0.00433,0.99999,-0.00491,0.00079,-0.00216,0.9999504504862237,-0.009831033151482926,0.0015644039033519922,-0.00982417556852716,-0.9999423561588011,-0.004332428185671584,0.0016069059702215748,0.004316844537354893,-0.9999893912969491
0.533,0.01636643148958683,Empty,0.30818,0.00213,0.48525,-0.00976,0.00158,-0.00429,0.99999,-0.00488,0.0008,-0.00214,0.9999511276037508,-0.009758634225020824,0.0015847593033557273,-0.009751777492962688,-0.9999432981114366,-0.004278247041739942,0.001626419292514981,0.004262583733449039,-0.9999895925159422
0.6,0.01636643148958683,Empty,0.30818,0.00224,0.48525,-0.0095,0.0016,-0.00405,0.99999,-0.00475,0.00081,-0.00202,0.999953530555149,-0.009506971362288674,0.0015981945466404261,-0.009500426265704465,-0.9999466512812358,-0.004054194397487333,0.0016366523950430115,0.004038822471875756,-0.9999905045959077
0.666,0.01636643148958683,Empty,0.30822,0.00248,0.48516,-0.00902,0.00134,-0.00373,0.99999,-0.00451,0.00068,-0.00186,0.9999584125758659,-0.009021280518884789,0.0013377655077222148,-0.00901624319179517,-0.9999524151886412,-0.0037248781335290104,0.0013713050209441006,0.003712661606291006,-0.9999921678024963
0.733,0.01636643148958683,Empty,0.30842,0.00344,0.48473,-0.00708,-1e-05,-0.00338,0.99999,-0.00354,0.0,-0.00169,0.9999750062386357,-0.007070131365615628,-1.185383959685345e-05,-0.0070701310736650536,-0.9999693020083832,-0.0033776156483954893,1.2026710628927349e-05,0.003377615037275669,-0.9999942957697399
0.8,0.01636643148958683,Empty,0.3089,0.00461,0.48367,-0.00402,-0.0034,-0.00181,1.0,-0.00201,-0.0017,-0.00091,0.9999861128042214,-0.004024250472911106,-0.003402882136301856,-0.00403041165065493,-0.9999902476370447,-0.0018056612992592863,-0.0033955825168227095,0.0018193512394952711,-0.999992579962691
0.867,0.01636643148958683,Empty,0.3097,0.00616,0.48197,-6e-05,-0.00888,0.00012,0.99999,-3e-05,-0.00444,6e-05,0.9999605955684866,-6.708541159938797e-05,-0.008877094674777382,-6.603741617172698e-05,-0.9999999908162641,0.00011834919158601985,-0.008877102532756597,-0.00011775830770796926,-0.9999605908152599
0.933,0.01636643148958683,Empty,0.31075,0.00818,0.47968,0.00432,-0.01619,0.00279,0.99996,0.00217,-0.00809,0.00141,0.9998598078279142,0.004322887474128678,-0.016176443806116637,0.004368598969170467,-0.9999865612410364,0.00279153727774145,-0.01616415891325588,-0.0028618143218032757,-0.9998652559147232
1.0,0.01636643148958683,Empty,0.31209,0.01074,0.47667,0.01095,-0.02575,0.00544,0.9999,0.00551,-0.01286,0.00279,0.9996083545643357,0.010946175948738923,-0.025754974612304866,0.011089488211073473,-0.9999237759747986,0.005428212552674373,-0.02569359329478218,-0.0057116961053439615,-0.9996535478810661
1.067,0.01636643148958683,Empty,0.31375,0.01379,0.47292,0.01726,-0.03743,0.00788,0.99978,0.0087,-0.01868,0.0041,0.9991507263700494,0.017233679348226394,-0.03742761400790635,0.01754026893251026,-0.9998151157739925,0.007878656967617425,-0.03728491598458453,-0.008528456247216262,-0.9992682825318042
1.133,0.01636643148958683,Empty,0.31559,0.01729,0.46839,0.02084,-0.05157,0.01197,0.99959,0.01057,-0.02572,0.00625,0.9984538139992412,0.020801103830104695,-0.05154896109348844,0.021444336191494773,-0.9996985456398974,0.011956516665814633,-0.051284712689796064,-0.013043462919139154,-0.998598891607337
1.2,0.01636643148958683,Empty,0.31748,0.0211,0.46338,0.02772,-0.06714,0.01706,0.9993,0.01414,-0.03344,0.00899,0.99736393695584,0.02765336927541462,-0.0670855306878102,0.028855263395825503,-0.9994388025763798,0.017013338268827276,-0.06657740633507056,-0.018904260694604526,-0.9976021641382328
1.267,0.01636643148958683,Empty,0.31928,0.02531,0.45819,0.0362,-0.08313,0.02258,0.9989,0.01855,-0.04134,0.01203,0.9958936808365784,0.03607121878540387,-0.08303399090195715,0.03806124464306987,-0.9990218636357133,0.02250905671160152,-0.08214084322668691,-0.02557700438208597,-0.9962924764951544
1.333,0.01636643148958683,Empty,0.32117,0.0296,0.45277,0.04493,-0.09938,0.02847,0.9984,0.02314,-0.04933,0.01533,0.9940624571172849,0.044684435776852716,-0.09921256245682963,0.047709153850134634,-0.9984595559058318,0.028325816126512582,-0.09779400793939359,-0.032890977784692486,-0.9946630160971687
1.4,0.01636643148958683,Empty,0.32313,0.0344,0.44721,0.0547,-0.11511,0.03459,0.99779,0.02829,-0.05702,0.01883,0.9918962391778597,0.05431500673425321,-0.11485525999394194,0.058609388716289346,-0.9976899547756374,0.03434666933036666,-0.11272439957312201,-0.04079992871617168,-0.9927882833502993
1.466,0.016366103664040565,Empty,0.32526,0.03989,0.44145,0.06492,-0.1303,0.04055,0.99711,0.0337,-0.0644,0.02233,0.9894343748939871,0.06432166825936197,-0.1299320621343213,0.07007282141750432,-0.9967322496467013,0.040182361961640864,-0.12692288003640276,-0.04886251637562642,-0.990708351139076
1.533,0.016366103664040565,Empty,0.32711,0.04492,0.43567,0.07324,-0.14613,0.04652,0.99633,0.0382,-0.07208,0.02585,0.9866913423896795,0.07239042208810487,-0.14560158530441294,0.07984311973825003,-0.9957453558534971,0.04600285346210496,-0.1416519363923969,-0.05701590204581937,-0.988273198984059
1.6,0.016366103664040565,Empty,0.32924,0.05023,0.42997,0.07709,-0.15926,0.05309,0.99566,0.04051,-0.07844,0.0295,0.9844124968730606,0.07604405996036984,-0.15858542475552517,0.0853010715687777,-0.9949765279118694,0.0523969091994874,-0.1538043015957776,-0.06510767888033452,-0.9859539679728715
1.667,0.01636643148958683,Empty,0.33243,0.05548,0.42447,0.0784,-0.16646,0.05906,0.99524,0.04149,-0.08188,0.03266,0.9831491680283989,0.0772393306015664,-0.1656858449394189,0.08793444347177459,-0.9944242164479362,0.05820662671223282,-0.16026617564656778,-0.07179528919176982,-0.9844593386186622
1.733,0.01636643148958683,Empty,0.3368,0.0603,0.41942,0.07456,-0.16686,0.06534,0.9952,0.03984,-0.08202,0.03563,0.9833693255913427,0.07345684184323498,-0.1660989520510166,0.0851476684685799,-0.9942858084377126,0.06438637816905617,-0.16042021082267888,-0.07745852777959243,-0.9840048437044532
