sec,nanosec,positions,velocities,efforts
1715142369,595327313,"array('d', [0.0013997958569963256, -0.7847097701141561, 3.845096615119374e-05, -2.355472987976846, 0.004440994421522862, 1.5721283772459416, 0.7810880195671227, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0005616879458981264, 3.0156725591591653e-05, -0.00017280974168398843, 0.00015644683935448758, -0.00019632471561486137, 0.0001081629023739467, 0.0016572716399193342, 0.0, 0.0])","array('d', [-0.45190468430519104, -3.985853672027588, -0.48151710629463196, 22.27597427368164, 0.10678455978631973, 2.1600382328033447, 0.043654173612594604, 0.0, 0.0])"
1715142369,661934532,"array('d', [0.0014000415697495074, -0.7847104942002112, 3.869157525259985e-05, -2.3554732949414943, 0.004440755640194982, 1.5721329140828197, 0.7810799240220822, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0009486661198707187, 0.00012112236033140204, 7.981564730710864e-05, -0.0004214671766186916, -0.00046945262663121803, 0.0013427700360759396, -0.0013897297147737635, 0.0, 0.0])","array('d', [-0.45190468430519104, -3.985853672027588, -0.48151710629463196, 22.27597427368164, 0.09946034103631973, 2.1472208499908447, 0.1031634509563446, 0.0, 0.0])"
1715142369,728560715,"array('d', [0.0013983816551337233, -0.7847059790935867, 3.9820542917954024e-05, -2.3554732240980067, 0.004440796537582136, 1.572128891854821, 0.7810869083672056, 0.015813518315553665, 0.015813518315553665])","array('d', [-0.0006373610036005594, 0.0010446683399846447, 0.000484435339361716, 0.0006523929360679763, -0.00037513660682550324, -0.0005167348156273673, 0.0009297785927059907, 0.0, 0.0])","array('d', [-0.42810097336769104, -4.037428379058838, -0.5092880725860596, 22.27597427368164, 0.09946034103631973, 2.1472208499908447, 0.050062865018844604, 0.0, 0.0])"
1715142369,795285688,"array('d', [0.0014000931968180508, -0.7847123971222469, 4.076844433837003e-05, -2.355472988555511, 0.004442617978511889, 1.5721287326396505, 0.7810865037563586, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0003505162274919749, -0.0005192777287038996, -0.0003947891469852627, 0.0009992866576506478, 0.0007203740929844628, -0.0022444471204877774, 0.001553049857557737, 0.0, 0.0])","array('d', [-0.45190468430519104, -3.985853672027588, -0.5092880725860596, 22.27597427368164, 0.09305164963006973, 2.1536295413970947, 0.056471556425094604, 0.0, 0.0])"
1715142369,861810956,"array('d', [0.0013955321350625782, -0.7847087260091306, 4.160450116114809e-05, -2.355474910697308, 0.00444155291473015, 1.572128408634945, 0.7810809831770212, 0.015813518315553665, 0.015813518315553665])","array('d', [-0.0012630934731455408, -0.0005297331029435251, -1.2460504979213392e-05, -0.0004155283070306501, -0.00026962767214065453, -0.00024324782187984913, -0.0006534567601752531, 0.0, 0.0])","array('d', [-0.42810097336769104, -4.013624668121338, -0.5330917835235596, 22.27597427368164, 0.09305164963006973, 2.1472208499908447, 0.1031634509563446, 0.0, 0.0])"
1715142369,928611205,"array('d', [0.001400094284159657, -0.7847097691498575, 3.8400179655508425e-05, -2.355474841974689, 0.0044418617796462626, 1.5721325688413128, 0.7810857505054851, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0005830775929655356, -0.0005876817836235248, -0.0004776856100615651, -0.0005836592773347186, 0.0016317830014949766, -0.0008892220364100808, 0.00021753125795781708, 0.0, 0.0])","array('d', [-0.45190468430519104, -3.985853672027588, -0.5092880725860596, 22.29977798461914, 0.09946034103631973, 2.1398966312408447, 0.0628802478313446, 0.0, 0.0])"
1715142369,995173496,"array('d', [0.0014021175423922024, -0.7847098525667932, 3.840017970500423e-05, -2.355467038819993, 0.004441552736338238, 1.5721293120000521, 0.7810883431848992, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0011934532783837114, 0.0002710420887399543, -3.8583391755275484e-05, 0.0014798299722208826, -0.00014956079490452054, -0.001283997962785583, 0.0019094921465595343, 0.0, 0.0])","array('d', [-0.47967568039894104, -3.985853672027588, -0.5092880725860596, 22.19662857055664, 0.09305164963006973, 2.1398966312408447, 0.050062865018844604, 0.0, 0.0])"
1715142370,61832345,"array('d', [0.001409364340562288, -0.7847094703692264, 3.9807904867878855e-05, -2.355493395564365, 0.004464546542733273, 1.572155797257971, 0.781088019187554, 0.015813518315553665, 0.015813518315553665])","array('d', [0.0008108554587819794, -0.0015278369259317673, 0.0004870747377389963, -0.00420834793698012, 0.0045641969509519235, 0.004139618569161691, 0.0017704551072848568, 0.0, 0.0])","array('d', [-0.37652626633644104, -4.188185214996338, -0.6084702014923096, 21.63724136352539, 0.40982410311698914, 2.1929972171783447, 0.0033709704875946045, 0.0, 0.0])"
1715142370,128554167,"array('d', [0.0018066833384652002, -0.7840687576541785, -0.0024883915337037287, -2.355835232476149, 0.0045111101043887256, 1.57264182670714, 0.7781285634780398, 0.01581384614109993, 0.01581384614109993])","array('d', [0.0010456569845862392, 0.024563369640535893, -0.0752791380516068, -0.0015538855131006515, 0.0004027789503617608, 0.02128907929155883, -0.08044755385103528, 0.0, 0.0])","array('d', [-1.1342777013778687, -3.255873203277588, -1.8780014514923096, 21.51028823852539, 0.15347644686698914, 2.2991983890533447, -0.1357891857624054, 0.0, 0.0])"
1715142370,195388828,"array('d', [0.001791369944565135, -0.7830962811372206, -0.005970744449468383, -2.356181315659016, 0.005205420900323293, 1.5735688271655028, 0.7774489633981025, 0.01581384614109993, 0.01581384614109993])","array('d', [0.005696174877917288, 0.025032521548287376, -0.06221533605053817, -0.0038791673803672275, 0.013882430041711061, 0.030894516419883545, -0.011084879954695937, 0.0, 0.0])","array('d', [-0.6820071935653687, -2.954359531402588, -1.4733383655548096, 21.45871353149414, 0.7879369258880615, 2.4722330570220947, -0.1421978771686554, 0.0, 0.0])"
