sec,nanosec,positions,velocities,efforts
1715048897,867200705,"array('d', [-0.0003077466200329454, -0.7848031676806562, 0.0009300812868447777, -2.3556204812701367, -0.003517460189819173, 1.5718652046473918, 0.7816442660290598, 0.040073081851005554, 0.040073081851005554])","array('d', [-0.0007034529542821676, 0.0006054490899474558, 0.0005000725234581997, -0.000458918292705144, 0.0004302260356582776, 0.000563487508927911, 0.00017561205718141023, 0.0, 0.0])","array('d', [0.10351523756980896, -4.061232089996338, -0.9655258655548096, 22.40292739868164, 1.4022557735443115, 2.1737711429595947, 0.1031634509563446, 0.0, 0.0])"
1715048897,933915603,"array('d', [-0.0003080513998005983, -0.7848043168666, 0.0009442846042758942, -2.355614844256819, -0.0035089516446244963, 1.5718675858674556, 0.7816466175299813, 0.040073081851005554, 0.040073081851005554])","array('d', [-0.00021461610619354077, 0.0014094955252591719, 0.002631660515339854, 0.0008311475699086103, 0.0033070835879679995, -1.874397807683577e-05, 0.0007192957415126443, 0.0, 0.0])","array('d', [0.05194053053855896, -4.188185214996338, -0.9655258655548096, 22.32754898071289, 1.1660497188568115, 2.1536295413970947, 0.056471556425094604, 0.0, 0.0])"
1715048898,498831,"array('d', [-0.00032176453519870945, -0.7855477970854318, 0.001911893635853192, -2.3556589468272713, -0.003567121356299736, 1.5713884540361311, 0.7826059060978965, 0.040073081851005554, 0.040073081851005554])","array('d', [-0.0008482190226034416, -0.020794120170487485, 0.021396303799604836, -0.0026147112182372152, 0.0010665226108514014, -0.021294856714696435, 0.023940351801709912, 0.0, 0.0])","array('d', [0.07971152663230896, -4.969740390777588, -0.35456398129463196, 22.19662857055664, 1.1056249141693115, 2.0007364749908447, 0.1828143298625946, 0.0, 0.0])"
1715048898,67251773,"array('d', [0.0017869699068500645, -0.7846189976794419, 0.00040085528688638713, -2.3532913355969476, -0.007596976198775699, 1.565994758223084, 0.7731167187497626, 0.040073081851005554, 0.040073081851005554])","array('d', [0.05226014883950539, 0.05390479046093215, -0.05913874408783784, 0.07683727874661224, -0.1135008664214405, -0.12581804989983048, -0.2537085609014929, 0.0, 0.0])","array('d', [-0.27734413743019104, -3.081312656402588, -1.0409042835235596, 22.42673110961914, 0.33566638827323914, 2.0739786624908447, -0.2090313732624054, 0.0, 0.0])"
1715048898,133863582,"array('d', [0.005485595628428203, -0.778351230331518, -0.004339080055858451, -2.345606870962503, -0.012664462609165919, 1.5547365745560024, 0.754725306713517, 0.04007275402545929, 0.04007275402545929])","array('d', [0.041135257742650255, 0.08342264943284776, -0.027491013957246013, 0.1327366141323274, -0.069752651180874, -0.109160137117806, -0.25494749674350625, 0.0, 0.0])","array('d', [1.9205318689346313, -3.458204746246338, 2.4344375133514404, 19.87179946899414, 0.40982410311698914, 1.6693155765533447, -0.2621319591999054, 0.0, 0.0])"
1715048898,200543886,"array('d', [0.00997355198051679, -0.769358987995958, -0.006494955088307411, -2.3385395127917024, -0.017845669048804587, 1.5489471323717456, 0.740587876786754, 0.04007275402545929, 0.04007275402545929])","array('d', [0.10912127296832444, 0.1774251516051694, -0.06508011398340569, 0.11197840465939445, -0.0038579669303713026, -0.094296614038515, -0.27993127555030994, 0.0, 0.0])","array('d', [-0.42810097336769104, -3.105116367340088, -1.9018051624298096, 22.65683364868164, 0.13974353671073914, 2.2131388187408447, -0.2154400646686554, 0.0, 0.0])"
1715048898,267280888,"array('d', [0.01693683320222474, -0.7637335675630713, -0.009029315147408061, -2.3407223459392386, -0.017326957693622927, 1.5480021352903979, 0.7236229410669609, 0.04007275402545929, 0.04007275402545929])","array('d', [0.08715931983323477, 0.13663974111505, -0.01606373357006257, 0.0279361955423411, 0.03674262152000668, -0.09006614618428252, -0.15257201909930096, 0.0, 0.0])","array('d', [0.30584678053855896, -3.608961582183838, -0.22761085629463196, 24.95785903930664, 0.8355443477630615, 2.2268717288970947, -0.2419903576374054, 0.0, 0.0])"
1715048898,334072870,"array('d', [0.022408097914962902, -0.7576084200931402, -0.008232457958708894, -2.341618001952984, -0.016425401830434935, 1.5470899219261618, 0.7185588468788223, 0.04007275402545929, 0.04007275402545929])","array('d', [0.08878484845100394, 0.03505601623854311, 0.03491101847089871, -0.09763499558548164, -0.009492333828069202, 0.025019123258205163, -0.030401037825188194, 0.0, 0.0])","array('d', [0.9882198572158813, -2.200575351715088, 0.7086684703826904, 25.18796157836914, 1.2603490352630615, 2.4053995609283447, -0.2685406506061554, 0.0, 0.0])"
1715048898,400530099,"array('d', [0.029421623871618632, -0.7475040847839968, -0.003334963289276979, -2.3391946609702465, -0.01639948626191397, 1.5480836552524058, 0.712326262017896, 0.04007275402545929, 0.04007275402545929])","array('d', [0.08064542257840766, 0.18605001388644174, 0.14189528554940703, 0.033096446229765694, -0.0016488421594418189, 0.04494380634084941, -0.03235477875696719, 0.0, 0.0])","array('d', [0.00036582350730895996, -3.307447910308838, -0.07685402035713196, 22.65683364868164, 0.7677953243255615, 2.5116007328033447, -0.2355816662311554, 0.0, 0.0])"
1715048898,467158933,"array('d', [0.03654721778087762, -0.7344896941022214, 0.003844641387097588, -2.3397030109959096, -0.016995496568547225, 1.5615991840333046, 0.709300421150056, 0.040073081851005554, 0.040073081851005554])","array('d', [0.126406708212544, 0.2298342075442865, 0.06103595992576022, -0.03911695495756383, -0.006103134833844712, 0.35463993929031007, -0.11073356958370734, 0.0, 0.0])","array('d', [-0.22576943039894104, -1.6967302560806274, -1.4217636585235596, 21.40713882446289, 0.6194798946380615, 2.4127237796783447, -0.2419903576374054, 0.0, 0.0])"
