sec,nanosec,positions,velocities,efforts
1715237042,965942197,"array('d', [-0.0021756323984845737, -0.7832586115336312, 0.0017768314547889296, -2.3547855595562885, -0.008037279661945932, 1.5743869193286193, 0.7747817311682684, 0.015879513695836067, 0.015879513695836067])","array('d', [0.00045696470597763906, -0.00035061508701880544, 0.0007406179432150904, 0.0013669264868066864, -0.0004889358362561785, 0.0006378625711986968, -0.0014190694148527813, 0.0, 0.0])","array('d', [0.07971152663230896, -4.239759922027588, -0.7354233264923096, 22.40292739868164, 0.9097020626068115, 2.1929972171783447, 0.050062865018844604, 0.0, 0.0])"
1715237043,32487489,"array('d', [-0.002175163003282468, -0.7832568990136533, 0.0017729561016688665, -2.354784694156766, -0.008038332224843962, 1.5743848006850867, 0.7747833294066264, 0.015879513695836067, 0.015879513695836067])","array('d', [-0.00019633736106031962, -0.0004037544093628998, -0.0013032468388718581, -0.0005096124196631829, -0.00140254726746341, -7.163205257509924e-05, -0.0011959503973642909, 0.0, 0.0])","array('d', [0.05194053053855896, -4.263563632965088, -0.7116196155548096, 22.42673110961914, 0.9097020626068115, 2.1929972171783447, 0.009779661893844604, 0.0, 0.0])"
1715237043,99038798,"array('d', [-0.002173653061845207, -0.783256466088729, 0.0017786306718708745, -2.3547828493396405, -0.00804154131027531, 1.574388737255494, 0.7747825258293646, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0011707965366884194, 0.00021265240476747293, 0.00048122692024480946, 0.0012360450512388693, -0.0017096121449570018, 0.001378597848209806, -0.00013056184352749098, 0.0, 0.0])","array('d', [0.05194053053855896, -4.239759922027588, -0.7631943225860596, 22.40292739868164, 0.9097020626068115, 2.1865885257720947, 0.017103880643844604, 0.0, 0.0])"
1715237043,165903928,"array('d', [-0.002176032402540844, -0.783251396219765, 0.0017766322749795558, -2.3547846420052654, -0.008033644468113346, 1.57438678908992, 0.7747835095287706, 0.015879513695836067, 0.015879513695836067])","array('d', [0.00018743063216702488, -0.00015043553028733377, 0.0005414725176964949, -0.00020454679621396282, 4.282985046361238e-05, -0.0007353667248696725, -0.00045156955594300504, 0.0, 0.0])","array('d', [0.05194053053855896, -4.338942050933838, -0.7354233264923096, 22.42673110961914, 0.8959691524505615, 2.1929972171783447, 0.036329954862594604, 0.0, 0.0])"
1715237043,232537035,"array('d', [-0.0021757127428721455, -0.7832568152897056, 0.0017687517953370315, -2.3547855090027108, -0.008037219507399475, 1.5743875826318268, 0.7747855359988524, 0.015879513695836067, 0.015879513695836067])","array('d', [0.00021184492102102771, -0.000562641434050941, -0.0016902562421341255, -0.0009024090883177046, 0.00044592480015192507, 0.00017098866027573498, 0.0011915078737397202, 0.0, 0.0])","array('d', [0.07971152663230896, -4.263563632965088, -0.6600449085235596, 22.42673110961914, 0.9032933712005615, 2.1929972171783447, 0.009779661893844604, 0.0, 0.0])"
1715237043,299074661,"array('d', [-0.0021729461638915755, -0.783255080525863, 0.0017758436253158105, -2.354782885968161, -0.008036755116509767, 1.574386956684849, 0.7747881830159945, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0008325794195246967, 0.0008976418839599957, -0.0008003176961513819, -0.0001866057864736045, 0.0013285643769214161, -0.0011936406716911967, 0.002353460732371383, 0.0, 0.0])","array('d', [0.05194053053855896, -4.287367343902588, -0.7354233264923096, 22.40292739868164, 0.9097020626068115, 2.2003214359283447, -0.0030377209186553955, 0.0, 0.0])"
1715237043,365783831,"array('d', [-0.0021751843095250524, -0.7832548557004696, 0.0017758435754416668, -2.3547842106207657, -0.008037989831594625, 1.5743876630520008, 0.7747873871263539, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0003197701758798621, 0.0004009478618066957, 0.0005756441444077387, 0.0010731344874225978, -2.585826010369571e-05, 0.0003726089600459406, 0.0002059709674439911, 0.0, 0.0])","array('d', [0.07971152663230896, -4.287367343902588, -0.7354233264923096, 22.40292739868164, 0.9097020626068115, 2.1865885257720947, 0.0033709704875946045, 0.0, 0.0])"
1715237043,432496389,"array('d', [-0.002175318942020905, -0.7832583720270554, 0.0017761558951755638, -2.3547869789560254, -0.008038348140259848, 1.574386919490568, 0.7747879456733833, 0.015879513695836067, 0.015879513695836067])","array('d', [0.00043833184611630937, -0.00025586544207342526, -0.0006824481900791899, -0.0018014099255979472, -0.0004751270326568299, -0.0011974959400823893, 0.0003855239052323955, 0.0, 0.0])","array('d', [0.05194053053855896, -4.239759922027588, -0.7354233264923096, 22.45450210571289, 0.9097020626068115, 2.1929972171783447, -0.009446412324905396, 0.0, 0.0])"
1715237043,499193588,"array('d', [-0.0021773187449356706, -0.7832565425305328, 0.0017748117087206235, -2.354780364257627, -0.008038227522441639, 1.5743870744044657, 0.7747841537237675, 0.015879513695836067, 0.015879513695836067])","array('d', [5.1464280677044466e-05, 0.00021763338091049516, -0.0013746834477515115, 0.0011262953934653287, 0.00022269183299193526, 8.235497885355055e-05, 0.00028322006087738597, 0.0, 0.0])","array('d', [0.07971152663230896, -4.263563632965088, -0.7116196155548096, 22.37912368774414, 0.9097020626068115, 2.2003214359283447, 0.0033709704875946045, 0.0, 0.0])"
1715237043,565878674,"array('d', [-0.002167245350056633, -0.7832631605546144, 0.0017640065810477204, -2.354780824505575, -0.007750561495800284, 1.5743735647543944, 0.775015956270756, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0008873455492975016, -0.0009798872330256982, -0.0006071109614082102, 0.0004629549297409131, 0.011383327109217313, -0.0006525677113139158, 0.012689079193428304, 0.0, 0.0])","array('d', [0.25427207350730896, -4.489698886871338, -0.8623764514923096, 22.27597427368164, 1.1999242305755615, 2.1536295413970947, 0.1626727283000946, 0.0, 0.0])"
1715237043,632397964,"array('d', [-0.0021264975788329687, -0.7829436361926796, 0.0017665356460274857, -2.354062396085985, -0.007764925424758309, 1.5735086390277728, 0.7750612372715904, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0026762084158432377, 0.013742088534020898, 0.0010870274305991693, 0.027936221439941133, 0.00012183131681777557, -0.028413954217609685, -0.0004238599262309866, 0.0, 0.0])","array('d', [0.27807578444480896, -3.835096836090088, -0.8108017444610596, 22.93851089477539, 1.0717504024505615, 2.0803873538970947, 0.0766131579875946, 0.0, 0.0])"
1715237043,699133484,"array('d', [-0.00205890652278656, -0.7833028589806437, 0.001766562015998848, -2.354385888099738, -0.007776245259359957, 1.5731769197495615, 0.7750639097354509, 0.015879513695836067, 0.015879513695836067])","array('d', [0.0004991157232538357, 0.0009942015267517387, -0.0026494548051098, -0.011930811246011929, -0.0002340471735017748, 0.0019947731848392637, 0.00039376352640636695, 0.0, 0.0])","array('d', [0.15508994460105896, -4.239759922027588, -0.8108017444610596, 22.75998306274414, 1.0854833126068115, 2.2460978031158447, 0.029921263456344604, 0.0, 0.0])"
