sec,nanosec,positions,velocities,efforts
1715490945,623091290,"array('d', [0.005459276886572554, -0.8435835671866015, 0.037079864261976535, -2.4434800700337935, 0.007099891015739439, 1.6176672866405393, 0.8119881391006109, 0.016641903668642044, 0.016641903668642044])","array('d', [0.030877687319248143, 0.005187259031111032, 0.09952515219557079, -0.07248070757343072, 0.039050995956770564, 0.09585858549597044, 0.12318931777052455, 0.0, 0.0])","array('d', [-0.02343788743019104, -2.878981113433838, -0.6838486194610596, 21.96652603149414, 0.8620946407318115, 2.5582926273345947, 0.1754901111125946, 0.0, 0.0])"
1715490945,689901934,"array('d', [0.00713711945312719, -0.842194829876519, 0.04349968547417549, -2.4463798082617947, 0.011225008482751056, 1.6214641581954818, 0.8223078376871814, 0.016641903668642044, 0.016641903668642044])","array('d', [0.022051516207874176, 0.031868324573869164, 0.10074875047195464, -0.01943135465772492, 0.06315667472660617, 0.053996115933848905, 0.19833788250259146, 0.0, 0.0])","array('d', [0.5597530603408813, -1.8752580881118774, -0.10065773129463196, 22.35135269165039, 1.2337987422943115, 2.5720255374908447, 0.1361224353313446, 0.0, 0.0])"
1715490945,756393465,"array('d', [0.009037850076161742, -0.8395378684508475, 0.05240018387922809, -2.446721439539903, 0.017090474172777207, 1.624966275749442, 0.8360109028662167, 0.016641903668642044, 0.016641903668642044])","array('d', [0.04200937741067884, 0.03692307609637611, 0.1325671413323642, -0.010292953651392711, 0.07439241395127819, 0.06999998979695642, 0.1862019028690285, 0.0, 0.0])","array('d', [-0.09881630539894104, -2.426710605621338, -1.2432358264923096, 22.09744644165039, 1.4837377071380615, 2.5317423343658447, 0.1361224353313446, 0.0, 0.0])"
1715490945,823255900,"array('d', [0.011840288932681511, -0.8359816921982947, 0.06118286953635289, -2.4469946549685897, 0.02340003004458055, 1.629071705092788, 0.8483256796305961, 0.016641903668642044, 0.016641903668642044])","array('d', [0.03744618877562347, 0.05888859582475397, 0.1306207057631639, 0.0015886168325970457, 0.1072994805411885, 0.0532751391906261, 0.16034118610457443, 0.0, 0.0])","array('d', [-0.04724159836769104, -2.728224277496338, -1.5209457874298096, 22.24820327758789, 1.3216893672943115, 2.5518839359283447, 0.1626727283000946, 0.0, 0.0])"
1715490945,889889998,"array('d', [0.014294338052572669, -0.8325099025222048, 0.07035870653337516, -2.447110605783412, 0.02845605840797919, 1.633445769552314, 0.8604893863410277, 0.016641903668642044, 0.016641903668642044])","array('d', [0.03805505837921611, 0.05466593290077802, 0.13588336479345323, -0.004491838999848825, 0.07660719341350301, 0.08484696201726677, 0.17796702514195104, 0.0, 0.0])","array('d', [0.30584678053855896, -2.101393222808838, -1.3979599475860596, 21.94272232055664, 1.7327611446380615, 2.4658243656158447, 0.1361224353313446, 0.0, 0.0])"
1715490945,956508900,"array('d', [0.01608110407851635, -0.8289269606145443, 0.07993185756821919, -2.4481088764918346, 0.03448121633860419, 1.6397222756179606, 0.872915658295605, 0.016641903668642044, 0.016641903668642044])","array('d', [0.025763182361527977, 0.051806500304663786, 0.15492240749631703, -0.018021569506215654, 0.05718608656468636, 0.08675460431727658, 0.17187133861172635, 0.0, 0.0])","array('d', [-0.20196571946144104, -2.375135898590088, -2.3104355335235596, 22.32754898071289, 1.7400853633880615, 2.6644937992095947, 0.1297137439250946, 0.0, 0.0])"
1715490946,23159340,"array('d', [0.01804891048003895, -0.8256783616508202, 0.09012822857747005, -2.450723887570022, 0.04032150390503116, 1.6479920100411465, 0.8851472572796338, 0.016641903668642044, 0.016641903668642044])","array('d', [0.031028542834989802, 0.04306215782762431, 0.15314466291560766, -0.0651668429721779, 0.11540714202042834, 0.1532477971144876, 0.18968041122314844, 0.0, 0.0])","array('d', [0.17889365553855896, -1.9744402170181274, -1.9811508655548096, 21.58566665649414, 1.7529027462005615, 2.4255411624908447, 0.1754901111125946, 0.0, 0.0])"
1715490946,89834750,"array('d', [0.020246808240559435, -0.8234671798331804, 0.09957502652455882, -2.456888727719271, 0.04595560552775062, 1.6585965688044424, 0.8961503310379908, 0.016641903668642044, 0.016641903668642044])","array('d', [0.034527962921628776, 0.02605482375752822, 0.13837260893565698, -0.11843350749910868, 0.08359283282672579, 0.18163122379618646, 0.17385312591347904, 0.0, 0.0])","array('d', [0.43279990553855896, -2.275953769683838, -1.8780014514923096, 21.86734390258789, 1.7666356563568115, 2.5253336429595947, 0.1892230212688446, 0.0, 0.0])"
1715490946,156472539,"array('d', [0.02280491070345895, -0.8228115996103451, 0.1089530519742791, -2.4667212010830104, 0.051379933024956054, 1.672887146804041, 0.9076960869441577, 0.016641903668642044, 0.016641903668642044])","array('d', [0.04929287557753694, -0.001885547573605299, 0.13080728210030548, -0.16936162604087115, 0.06673269713713673, 0.2285680916826257, 0.1386004924695708, 0.0, 0.0])","array('d', [-0.20196571946144104, -2.553663730621338, -2.8182480335235596, 21.74039077758789, 1.6119115352630615, 2.3989908695220947, 0.1754901111125946, 0.0, 0.0])"
1715490946,223141921,"array('d', [0.0259350218329827, -0.8223225245545372, 0.11901137875230251, -2.478230703817536, 0.05969087943261702, 1.68911115380613, 0.9199103022987876, 0.016641903668642044, 0.016641903668642044])","array('d', [0.05205623859615281, 0.01586594225161211, 0.16115760524799386, -0.16743548201492287, 0.1695880345462232, 0.24867647790287029, 0.23399636634252197, 0.0, 0.0])","array('d', [0.5319820642471313, -2.478285312652588, -2.3104355335235596, 21.68881607055664, 1.5917699337005615, 2.5518839359283447, 0.1562640368938446, 0.0, 0.0])"
