sec,nanosec,positions,velocities,efforts
1714822383,857533078,"array('d', [-0.0005176714674573182, -0.7842568849251768, -0.00021154386050407996, -2.3562024946894855, 0.0039454692036188085, 1.5705921493256019, 0.7831510619256613, 0.016162864863872528, 0.016162864863872528])","array('d', [0.0017566582788983887, -0.0010911124616232765, 7.48439053920752e-05, -0.00021329048652296936, 0.0005540574954867529, -0.00013773023730207033, 0.001365061092474701, 0.0, 0.0])","array('d', [0.05194053053855896, -4.362745761871338, -0.42994239926338196, 22.86313247680664, 0.16080066561698914, 2.3522989749908447, 0.023512572050094604, 0.0, 0.0])"
1714822383,924233367,"array('d', [-0.0005218827286587997, -0.7842541720543345, -0.0002115440770484247, -2.356202456938373, 0.00394465847160989, 1.5705953518839857, 0.7831542625946379, 0.016162864863872528, 0.016162864863872528])","array('d', [-0.0007545426944890535, -0.0005114473463313555, 0.0005289316771991302, -0.000933126345540933, 0.00017992280516417148, 0.0004663967537632192, -1.529302704384903e-05, 0.0, 0.0])","array('d', [0.07971152663230896, -4.390516757965088, -0.42994239926338196, 22.86313247680664, 0.16720935702323914, 2.3458902835845947, 0.023512572050094604, 0.0, 0.0])"
1714822383,990986207,"array('d', [-0.0005162687338061042, -0.7842586562664355, -0.00021332642927560918, -2.3562017934268416, 0.003945013581457982, 1.5705954844308956, 0.7831526096398524, 0.016163192689418793, 0.016163192689418793])","array('d', [0.0019612386641224967, -0.00041435552124556596, -0.0006696978720338244, -0.0007026470270360786, 0.0008404553018037244, -0.0012523722663004878, -0.00016775516168121769, 0.0, 0.0])","array('d', [0.02813681960105896, -4.338942050933838, -0.40613868832588196, 22.88693618774414, 0.16720935702323914, 2.3458902835845947, 0.029921263456344604, 0.0, 0.0])"
1714822384,57577586,"array('d', [-0.0005238309309934838, -0.7842525487667369, -0.00021340567441932026, -2.3562017118346774, 0.003941870213248828, 1.5705925163192602, 0.783146070051855, 0.016163192689418793, 0.016163192689418793])","array('d', [-0.0020602773894507122, -0.0008282085586325128, -0.00017961987433394227, 0.0011210231572890946, -0.0018892697771575068, -0.0014947578474981504, -0.0012091420362027642, 0.0, 0.0])","array('d', [0.10351523756980896, -4.390516757965088, -0.40613868832588196, 22.88693618774414, 0.16080066561698914, 2.3522989749908447, 0.056471556425094604, 0.0, 0.0])"
1714822384,124223402,"array('d', [-0.0005193837059722815, -0.7842569410310704, -0.00020946396240160135, -2.3561999398183207, 0.003940692950678408, 1.5705916504462152, 0.7831493108900249, 0.016163192689418793, 0.016163192689418793])","array('d', [0.00014049943027777715, -0.00010038826274645234, 0.0010906320817505152, -6.526680429825289e-05, -0.0012248786991815933, 0.0004369188129059703, -2.4672703030635332e-05, 0.0, 0.0])","array('d', [0.05194053053855896, -4.362745761871338, -0.45771339535713196, 22.86313247680664, 0.17361804842948914, 2.3596231937408447, 0.056471556425094604, 0.0, 0.0])"
1714822384,191100093,"array('d', [-0.0005211683723648786, -0.7842497335130206, -0.00021155251987367384, -2.3561992709523265, 0.0039464812800919105, 1.5705958134678937, 0.7831485933724884, 0.016163192689418793, 0.016163192689418793])","array('d', [-0.0009356217705603617, 0.002002020336871913, 0.0008538851781440614, -0.00020530749967197627, 0.0007845589050619469, 0.00027388816323550364, -0.0019912358662015988, 0.0, 0.0])","array('d', [0.07971152663230896, -4.390516757965088, -0.42994239926338196, 22.86313247680664, 0.16080066561698914, 2.3522989749908447, 0.0894305408000946, 0.0, 0.0])"
1714822384,257557335,"array('d', [-0.0005161467179397312, -0.7842568489499584, -0.00021154375225655242, -2.3561999000262093, 0.003947040158073301, 1.570592227915488, 0.7831454290115546, 0.016163192689418793, 0.016163192689418793])","array('d', [0.0009132473707116561, 5.3159584648058546e-05, -0.0006795033871887741, 0.0007578537375404425, 0.0019033861521354427, 0.0005408601787591112, -0.0023738797671776298, 0.0, 0.0])","array('d', [0.00036582350730895996, -4.362745761871338, -0.42994239926338196, 22.86313247680664, 0.14706775546073914, 2.3458902835845947, 0.0894305408000946, 0.0, 0.0])"
1714822384,324353875,"array('d', [-0.0005209870678617918, -0.7842540790240773, -0.00021724007824085715, -2.356201272431986, 0.003943532109369094, 1.5705956896213764, 0.7831483555675355, 0.016163192689418793, 0.016163192689418793])","array('d', [-0.0006928012509352331, -0.0009684714358069224, -0.0011411792062626573, -0.00015694945598792044, -0.00015407577658594913, 0.00013378448560625997, 0.0006517346453426115, 0.0, 0.0])","array('d', [0.10351523756980896, -4.362745761871338, -0.38233497738838196, 22.88693618774414, 0.14706775546073914, 2.3522989749908447, 0.0766131579875946, 0.0, 0.0])"
1714822384,390865097,"array('d', [-0.0005146975562882229, -0.7842549696752302, -0.00021017413790484134, -2.356203788735393, 0.003945428606488701, 1.570596923366812, 0.7831538626164769, 0.016163192689418793, 0.016163192689418793])","array('d', [0.0011085755231200244, 0.0003682825489438326, 0.0006601230610534348, -0.0009093099394414293, 4.626212996380278e-06, 0.00020617292754719684, 0.0015911476743695739, 0.0, 0.0])","array('d', [-0.02343788743019104, -4.390516757965088, -0.45771339535713196, 22.91470718383789, 0.16080066561698914, 2.3394815921783447, 0.029921263456344604, 0.0, 0.0])"
1714822384,457475249,"array('d', [-0.0005221188073024443, -0.7842558980695825, -0.00021335273340829746, -2.3562019778400836, 0.003946839808951527, 1.5705973296071636, 0.7831500596100635, 0.016163192689418793, 0.016163192689418793])","array('d', [-0.0009739981269762816, -0.0006460719149809367, 0.0005107211095947992, 8.172921336390858e-05, 0.000933143959115623, 0.0007602988863371353, 0.00021965217343614726, 0.0, 0.0])","array('d', [0.07971152663230896, -4.362745761871338, -0.40613868832588196, 22.86313247680664, 0.13974353671073914, 2.3394815921783447, 0.050062865018844604, 0.0, 0.0])"
