time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.015964223071932793,Empty,0.30753,0.00096,0.4849,-0.00596,0.00095,-0.0032,0.99999,-0.00298,0.00048,-0.0016,0.9999818280012422,-0.005951749739098844,0.000959344743475586,-0.005948652613813832,-0.9999771880076148,-0.0031995306629947623,0.0009783656646992287,0.003193765712511705,-0.999994421315039
0.067,0.015964223071932793,Empty,0.30753,0.00096,0.4849,-0.00594,0.00097,-0.0032,0.99999,-0.00297,0.00049,-0.0016,0.9999818456570381,-0.00594854846006998,0.0009607952754956219,-0.005945448333981029,-0.9999772123431037,-0.003197880332905734,0.0009797961273522446,0.0031921099188194284,-0.9999944252013682
0.133,0.015964223071932793,Empty,0.30753,0.00096,0.4849,-0.00594,0.00097,-0.0032,0.99999,-0.00297,0.00049,-0.0016,0.9999818628013243,-0.005945430352015335,0.0009622506549869859,-0.005942327048625351,-0.999977235633659,-0.0031963985535319516,0.0009812327149378358,0.0031906225717216533,-0.9999944285394616
0.2,0.015964223071932793,Empty,0.30753,0.00097,0.4849,-0.00592,0.00095,-0.0032,0.99999,-0.00296,0.00048,-0.0016,0.9999820119304013,-0.005921248017962677,0.0009563668419166019,-0.005918166720624285,-0.9999773891372379,-0.003193198543757572,0.0009752529381852756,0.003187481165863385,-0.9999944444073295
0.267,0.015964223071932793,Empty,0.30762,0.00067,0.48513,-0.00552,9e-05,-0.01014,0.99998,-0.00276,6e-05,-0.00507,0.9999847674749232,-0.005518732592513675,9.169894479192208e-05,-0.005517519654023084,-0.9999334059993716,-0.010136100994118533,0.0001476312691094393,0.010135440644975813,-0.9999486242042341
0.334,0.015964223071932793,Empty,0.30798,0.0002,0.48583,-0.00779,-0.00076,-0.01454,0.99997,-0.0039,-0.00035,-0.00727,0.999969392921302,-0.007786671317738858,-0.00076221413798585,-0.0077969319723633634,-0.9998639051648824,-0.01453887891996412,-0.0006489009331003599,0.014544376859135084,-0.9998940143982052
0.4,0.015963895246386528,Empty,0.30934,-8e-05,0.48708,-0.00957,-0.00324,-0.01672,0.99995,-0.0048,-0.00158,-0.00837,0.9999490332731812,-0.009565309326544869,-0.00323043549967873,-0.009618063393294629,-0.9998137831505746,-0.01672996947691226,-0.003069806605087273,0.0167601873385521,-0.9998548256660983
0.467,0.015963895246386528,Empty,0.31206,-0.00017,0.48872,-0.0108,-0.00363,-0.02064,0.99993,-0.00542,-0.00176,-0.01033,0.9999350308667826,-0.010802257175477392,-0.0036394072816285684,-0.01087513512568472,-0.9997278592149639,-0.02063828833656376,-0.0034154767522006513,0.020676526530824555,-0.9997803837689433
0.533,0.015963895246386528,Empty,0.31567,-0.0001,0.48942,-0.01332,-0.00744,-0.02677,0.99988,-0.00671,-0.00363,-0.01341,0.9998835757568123,-0.013319628152870189,-0.007444624748103312,-0.013514469799161821,-0.999550390531126,-0.026765199329003068,-0.007084775071824425,0.026862693367251764,-0.9996140263457883
0.6,0.015964223071932793,Empty,0.31999,-0.00024,0.48862,-0.0145,-0.01208,-0.02997,0.99984,-0.00734,-0.00593,-0.01503,0.9998220881538276,-0.014494367388656892,-0.012070847266111993,-0.014850731603588685,-0.9994402935258626,-0.02997591446103439,-0.011629609217739404,0.030149842303728868,-0.9994777332179553
0.667,0.015964223071932793,Empty,0.32461,-0.00049,0.48597,-0.01459,-0.01765,-0.03071,0.99982,-0.00743,-0.00871,-0.01542,0.9997376976509955,-0.014596914097628644,-0.017648399199712752,-0.0151343461374282,-0.9994136851802989,-0.030712170898951088,-0.017189748761354144,0.030971212006641245,-0.9993724513735415
0.733,0.015964223071932793,Empty,0.32987,-0.00057,0.48268,-0.0151,-0.02278,-0.03173,0.99978,-0.00773,-0.01127,-0.01595,0.9996262915211009,-0.015106418820007239,-0.022783182618004563,-0.015825463199705903,-0.9993715830562685,-0.03171740364724023,-0.022289728896636846,0.032066105002662,-0.9992371754972253
0.8,0.015964223071932793,Empty,0.3362,-0.00035,0.47947,-0.0132,-0.02519,-0.03164,0.99977,-0.0068,-0.01249,-0.0159,0.999595311068693,-0.01319938853474828,-0.025199012516188574,-0.01399405885121302,-0.9994018547185917,-0.03162434350160451,-0.02476651784872201,0.031964181943973574,-0.9991821208700152
0.867,0.015964223071932793,Empty,0.34265,0.00029,0.47644,-0.01198,-0.03029,-0.03162,0.99974,-0.00623,-0.01505,-0.0159,0.9994692956263986,-0.011983425573650064,-0.03029066872142087,-0.012940601563467824,-0.99941670227112,-0.03160373479028487,-0.029894279239440536,0.03197894202502444,-0.999041380191889
0.933,0.015964223071932793,Empty,0.34985,0.00164,0.47336,-0.01047,-0.03288,-0.03025,0.99974,-0.00548,-0.01636,-0.01521,0.999404602402139,-0.010468375655159401,-0.032876341167542907,-0.011463893483035226,-0.99947693562825,-0.030239614636639284,-0.0325425850791212,0.03059850091598103,-0.9990018578051107
1.0,0.015964223071932793,Empty,0.3576,0.00474,0.4699,-0.00877,-0.03304,-0.02618,0.99977,-0.0046,-0.01646,-0.01316,0.9994158234691541,-0.008772572095913977,-0.03303110319523834,-0.009638718212368003,-0.9996114335138717,-0.026154867607484898,-0.03278882295379121,0.02645796604360377,-0.9991120403248781
1.067,0.015964223071932793,Empty,0.36475,0.00889,0.46531,-0.00464,-0.03389,-0.02137,0.9998,-0.0025,-0.01692,-0.01072,0.9994149037962969,-0.004645572285127686,-0.033886114087961175,-0.005371227696475911,-0.99975752679944,-0.021355035024552976,-0.033778691254565715,0.02152455030914536,-0.9991975248924099
