time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.015697944909334183,Empty,0.30751,0.00148,0.48511,-0.00232,1e-05,-0.00432,1.0,-0.00116,1e-05,-0.00216,0.9999973052479763,-0.002321512563240813,8.729516290113815e-06,-0.0023214533252806646,-0.9999880054537984,-0.004312748890483466,1.8741512314789413e-05,0.004312717003530046,-0.9999907000171565
0.067,0.015697617083787918,Empty,0.30751,0.00147,0.48511,-0.00232,1e-05,-0.00432,1.0,-0.00116,1e-05,-0.00216,0.9999972999336582,-0.002323801643437262,8.444812227729331e-06,-0.0023237435462227785,-0.9999879847610877,-0.004316312012569589,1.8474963709663025e-05,0.00431628073466289,-0.9999906846462596
0.133,0.015697617083787918,Empty,0.30743,0.00148,0.48522,-0.00246,-0.00041,-0.00476,1.0,-0.00123,-0.0002,-0.00238,0.9999969181583104,-0.0024503339897789522,-0.0003994211061975543,-0.002452205610420588,-0.9999856896440745,-0.004754702378536199,-0.00038776478149000977,0.004755667187973725,-0.9999886165692444
0.2,0.015697617083787918,Empty,0.30691,0.00115,0.48477,-0.0014,0.00124,-0.0054,1.0,-0.0007,0.00062,-0.0027,0.9999982473303621,-0.0014020262738445033,0.0012408297753444737,-0.0013952998045799192,-0.9999844177663898,-0.0054053087672385845,0.0012483888253550517,0.005403567963974969,-0.9999846213710485
0.267,0.015697617083787918,Empty,0.30528,0.00146,0.48171,2e-05,0.00096,-0.00478,1.0,1e-05,0.00048,-0.00239,0.9999995301091045,1.674774469306861e-05,0.0009692786406327524,2.1372470368929974e-05,-0.9999886161338987,-0.004771493039657738,0.0009691876947472027,0.004771511513455627,-0.9999881466062933
0.333,0.015697617083787918,Empty,0.30405,0.0031,0.47975,0.00012,0.00036,-0.00266,1.0,6e-05,0.00018,-0.00133,0.999999928889545,0.00011686162971863423,0.00035855859252154304,0.00011781821974865547,-0.9999964312292373,-0.0026690162338196604,0.00035824540732130357,0.00266905828875975,-0.9999963738874653
0.4,0.015697944909334183,Empty,0.30499,0.00403,0.47808,0.0088,0.00126,0.00053,0.99999,0.0044,0.00063,0.00026,0.9999605692536022,0.008790692292158231,0.0012584383323193898,0.00879004398985267,-0.9999612317306348,0.0005197714958357354,0.0012629586961251653,-0.0005086892725580948,-0.9999990730848485
0.467,0.015697944909334183,Empty,0.30739,0.00455,0.47703,0.01334,-0.00343,0.00184,0.99998,0.00667,-0.00171,0.00093,0.9999051896085285,0.013334645831294956,-0.0034349693574362425,0.013340980278386538,-0.9999093345122626,0.0018278403803575114,-0.003410284320155889,-0.0018734929405499212,-0.999992429963876
0.533,0.015697944909334183,Empty,0.31144,0.00471,0.47557,0.02372,-0.00867,0.00042,0.99992,0.01186,-0.00433,0.00026,0.9996810888009454,0.023718732565748746,-0.008668472716189944,0.02372332352140122,-0.9997184710981581,0.0004271606955722606,-0.008655900580284651,-0.0006326694519252611,-0.9999623368479978
0.6,0.015697944909334183,Empty,0.31633,0.00493,0.47285,0.02834,-0.0144,-0.0002,0.99987,0.01417,-0.0072,0.0,0.999494556323855,0.028343757670924008,-0.014396641277484573,0.028343881940647853,-0.9995982123616544,-0.0001954479971915963,-0.014396396615655312,-0.00021270749147348235,-0.9998963438877092
0.667,0.015697944909334183,Empty,0.32205,0.00474,0.46876,0.03656,-0.01797,0.00277,0.99979,0.01829,-0.00896,0.00155,0.9991706660143456,0.036536638567238655,-0.017973709095679143,0.03659202552041707,-0.9993264699095081,0.0027622828447074928,-0.017860678731847882,-0.0034176864115920305,-0.999834644116131
0.734,0.015697944909334183,Empty,0.32821,0.00655,0.46613,0.03867,-0.0268,0.00582,0.99972,0.01937,-0.01334,0.00317,0.9988933550815353,0.03865096133228235,-0.02679866343763791,0.038819955025258535,-0.9992293041170903,0.0058145408685881615,-0.026553272223782256,-0.006848429145868885,-0.9996239406659105
0.8,0.015697944909334183,Empty,0.33503,0.00851,0.46279,0.04408,-0.03155,0.00807,0.99962,0.0221,-0.01568,0.00438,0.9985316324620945,0.0440417450680094,-0.03154209352514777,0.04431666716707383,-0.9989849364689575,0.008070298589001157,-0.031154646263238262,-0.009456288885038551,-0.9994698427750263
0.867,0.015697944909334183,Empty,0.3424,0.00856,0.45913,0.05096,-0.03445,0.01237,0.99951,0.02558,-0.01706,0.00662,0.9981092664948592,0.05090754537146214,-0.03444290872366648,0.05135954463589559,-0.9986036445728781,0.012367627927715086,-0.033765208601276776,-0.014113216147196272,-0.9993301395525379
0.933,0.015697944909334183,Empty,0.35126,0.00776,0.45576,0.05995,-0.03441,0.00963,0.99939,0.03005,-0.01705,0.00533,0.9976127768909984,0.05987290103084475,-0.034409055581081704,0.06023651285992526,-0.9981376908914562,0.009628735137456861,-0.03376847497751936,-0.011678430717433979,-0.9993614483027001
1.0,0.015697944909334183,Empty,0.36186,0.00535,0.45062,0.07154,-0.03178,0.00375,0.99923,0.03579,-0.01581,0.00244,0.9969382180937947,0.07145155704139816,-0.03176262426703633,0.07160571520612247,-0.9974259993810222,0.00374129771450407,-0.03141354570545591,-0.006004228104320555,-0.9994884383478794
1.067,0.015697944909334183,Empty,0.37212,0.00355,0.4442,0.07429,-0.03367,0.00221,0.99917,0.03715,-0.01678,0.00173,0.996677288979352,0.07417048877760352,-0.03366185121559376,0.07428653017658421,-0.9972344939225934,0.0022080682217950863,-0.03340498566221529,-0.0047013535753070825,-0.9994308401322561
