time,gr,gr_state,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0,0.015907421708106995,Empty,0.30734,-0.00053,0.48543,0.00444,0.00095,0.0045,0.99999,0.00222,0.00048,0.00225,0.9999896504135343,0.004449109872563473,0.0009510452984406307,0.004444785147508568,-0.9999799873504956,0.004502086571241001,0.0009710565433156682,-0.0044978127844896385,-0.9999894133086338
0.066,0.01590774953365326,Empty,0.30734,-0.00054,0.48543,0.00446,0.00095,0.0045,0.99999,0.00223,0.00048,0.00225,0.9999896441095407,0.004452238976485057,0.000942996166522858,0.004447952783365461,-0.9999799842889399,0.004499637488566494,0.0009630107531906389,-0.00449539648838997,-0.9999894319545088
0.133,0.01590774953365326,Empty,0.30733,-0.00054,0.48543,0.00446,0.00093,0.0045,0.99999,0.00223,0.00047,0.00225,0.9999896369804626,0.004455016544351875,0.0009374216086486197,0.004450755982714716,-0.9999799746282935,0.0044990125116437275,0.0009574460116049436,-0.0044947936534561524,-0.9999894400078171
0.2,0.01590774953365326,Empty,0.30733,-0.00054,0.48543,0.00444,0.00093,0.0045,0.99999,0.00222,0.00047,0.00225,0.9999896762335724,0.0044468420488526506,0.0009343564991953796,0.004442596494076023,-0.9999800163360361,0.004497806684563555,0.0009543388632215215,-0.004493609281350364,-0.9999894483008112
0.267,0.015907421708106995,Empty,0.30734,-0.00054,0.48543,0.00446,0.00095,0.0045,0.99999,0.00223,0.00048,0.00225,0.9999896262296264,0.004455472753645939,0.0009466761186124437,0.004451170886028033,-0.9999799741562098,0.0044987069574748285,0.0009667010268998861,-0.004494446471744208,-0.9999894326641843
0.333,0.015907421708106995,Empty,0.30733,-0.00054,0.48543,0.00446,0.00093,0.0045,0.99999,0.00223,0.00047,0.00225,0.9999896464418176,0.004453057543400141,0.0009366363665881342,0.004448800406533948,-0.9999799827487541,0.004499141778624168,0.0009566525549387271,-0.00449492828824954,-0.9999894401620312
0.4,0.015907421708106995,Empty,0.30734,-0.00053,0.48543,0.00446,0.00095,0.0045,0.99999,0.00223,0.00048,0.00225,0.999989627785868,0.004456064870067555,0.0009422348728302158,0.004451784021884342,-0.9999799764012829,0.004497601084126269,0.000962257608087816,-0.004493359807893016,-0.9999894418332288
0.467,0.01590774953365326,Empty,0.30734,-0.00054,0.48543,0.00444,0.00095,0.0045,0.99999,0.00222,0.00048,0.00225,0.9999896590287887,0.004448086324924327,0.0009467647717611744,0.004443782435595289,-0.9999799991297866,0.004500459760587567,0.000966764269158637,-0.004496206004799352,-0.9999894246932864
0.533,0.01590774953365326,Empty,0.30733,-0.00054,0.48543,0.00444,0.00095,0.0045,0.99999,0.00222,0.00048,0.00225,0.9999896789528759,0.0044446856116837075,0.0009416780433162237,0.004440403750895994,-0.9999800100413896,0.004501370030473306,0.0009616663938184621,-0.004497142140905421,-0.9999894253992445
0.6,0.015907421708106995,Empty,0.30733,-0.00054,0.48543,0.00444,0.00095,0.0045,0.99999,0.00222,0.00048,0.00225,0.9999896765790142,0.004445108347586935,0.0009422033628725798,0.00444083042510951,-0.9999800376214274,0.004494817436121379,0.0009621645047583605,-0.004490586868868248,-0.9999894543789146
0.667,0.015907421708106995,Empty,0.30734,-0.00054,0.48543,0.00444,0.00095,0.0045,0.99999,0.00222,0.00048,0.00225,0.9999896637386207,0.004446126377964987,0.0009509869352883199,0.004441806541938931,-0.9999800218925541,0.0044973514885076876,0.0009709637294530719,-0.004493080902716727,-0.9999894346709057
0.734,0.015907421708106995,Empty,0.30735,-0.00059,0.48543,0.00446,0.00091,0.00472,0.99999,0.00223,0.00046,0.00236,0.9999896196539212,0.004463289731391484,0.0009163128176912225,0.004458907114413657,-0.9999788701612756,0.004730473372072187,0.0009374069293751923,-0.004726338514379635,-0.9999883914288689
0.8,0.015907421708106995,Empty,0.30767,-0.00061,0.48586,0.0045,0.00067,0.00486,0.99999,0.00225,0.00034,0.00243,0.9999896523014247,0.004499083986282515,0.000673448855265798,0.004495759247105213,-0.9999780861539314,0.004859563839722034,0.0006952976832629626,-0.004856485890501696,-0.9999879654805489
0.867,0.015907421708106995,Empty,0.3089,-0.00063,0.48716,0.00464,0.00031,0.0048,0.99999,0.00232,0.00016,0.0024,0.999989163473652,0.004645495558767976,0.0003038194843739458,0.004643984628725117,-0.9999777066062867,0.0047978846588217355,0.00032610126308056414,-0.004796421733402877,-0.9999884439314892
0.933,0.015907421708106995,Empty,0.31076,-0.00082,0.4878,0.00542,-0.00075,0.0046,0.99999,0.00271,-0.00037,0.0023,0.9999850116022843,0.00542385199494122,-0.0007472618793364673,0.005427231744207506,-0.9999747033068824,0.004597597405916505,-0.0007223062882198749,-0.004601584058690819,-0.9999891517900467
1.0,0.01590774953365326,Empty,0.31236,-0.00079,0.48671,0.00555,-0.00279,0.00465,0.99999,0.00278,-0.00139,0.00233,0.9999806512403288,0.005553533880892025,-0.002802749792955332,0.00556654086267977,-0.9999736741490313,0.004654528086817444,-0.002776826928752238,-0.004670039648722461,-0.9999852398720128
1.067,0.01590774953365326,Empty,0.31503,-0.00029,0.48502,0.00639,-0.0023,0.00557,0.99999,0.0032,-0.00114,0.00279,0.9999769157541237,0.006392168975033419,-0.0023039389455207938,0.006404915830954372,-0.9999639844177117,0.005568385821059641,-0.002268261904731627,-0.0055830138140979335,-0.9999818423074905
1.133,0.01590774953365326,Empty,0.31864,0.00072,0.48326,0.0079,-9e-05,0.00704,0.99999,0.00395,-3e-05,0.00352,0.9999688427212647,0.007893504167445498,-7.860440925273925e-05,0.0078938620970605,-0.9999440129700685,0.007046833793125978,-2.2975796511885324e-05,-0.007047234725328146,-0.999975167669097
1.2,0.015907421708106995,Empty,0.32272,0.00226,0.48089,0.00921,0.00212,0.00823,0.99998,0.0046,0.00108,0.00411,0.9999554279498091,0.009201999918597603,0.00211312830006814,0.009184336140915128,-0.9999240210659508,0.008221925866298774,0.0021886259079847716,-0.008202151717589687,-0.9999639666627178
1.266,0.015907421708106995,Empty,0.32758,0.00336,0.47824,0.01181,0.00711,0.00864,0.99997,0.00589,0.00358,0.0043,0.9999050141669016,0.01180906446981328,0.0071069431006628,0.011747441326956876,-0.9998935732254532,0.00865100252596303,0.007208346978189315,-0.00856669240619191,-0.9999373237933765
1.333,0.015907421708106995,Empty,0.33211,0.00424,0.47531,0.01399,0.01118,0.00878,0.99995,0.00697,0.00562,0.00435,0.9998397199942931,0.013981750794373471,0.011182350667813257,0.013883888204595018,-0.9998650497973725,0.008781790365324147,0.011303626411741138,-0.008625128313377774,-0.999898912486418
1.4,0.015907421708106995,Empty,0.33727,0.00575,0.47203,0.01632,0.01891,0.0106,0.99991,0.00811,0.0095,0.00522,0.999688068268964,0.016322238908972442,0.018903721265012732,0.01612384344203982,-0.999813809847017,0.010600344892933823,0.019073222940118408,-0.01029223766685277,-0.9997651134193898
1.466,0.015907421708106995,Empty,0.34244,0.00839,0.46839,0.01903,0.02448,0.01061,0.99987,0.00945,0.01229,0.00519,0.9995194367466016,0.0190199296650847,0.024477292360303948,0.01876486617052575,-0.9997676451645165,0.010608274119742552,0.02467337357068987,-0.010143863057660699,-0.9996441000070518
1.533,0.015907421708106995,Empty,0.34723,0.01176,0.46533,0.01962,0.02427,0.01176,0.99986,0.00974,0.01219,0.00576,0.9995132623405512,0.01961030972531702,0.02426260822388423,0.01932931814747474,-0.9997439824220757,0.011762103162388349,0.02448705505572806,-0.0112873984303779,-0.9996364232916745
