time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.015964550897479057,0.3074,0.00137,0.48564,0.00596,0.00169,-0.00429,0.99999,0.00298,0.00084,-0.00215
0.067,0.015964550897479057,0.3074,0.00138,0.48564,0.00596,0.00169,-0.00429,0.99999,0.00298,0.00084,-0.00215
0.133,0.015964550897479057,0.30729,0.00134,0.4856,0.00622,0.00179,-0.00439,0.99999,0.00311,0.00089,-0.0022
0.2,0.015964550897479057,0.30585,0.00097,0.48525,0.00794,0.0015,-0.00517,0.99999,0.00397,0.00074,-0.00259
0.267,0.015964550897479057,0.30239,0.00034,0.48608,0.01456,0.00078,-0.00277,0.99997,0.00728,0.00038,-0.00139
0.334,0.01596488058567047,0.29811,-0.00217,0.48665,0.02631,0.00403,0.00381,0.99991,0.01315,0.00204,0.00188
0.4,0.01596488058567047,0.29452,-0.00613,0.48743,0.04492,0.00755,0.01013,0.99973,0.02244,0.00389,0.00498
0.467,0.01596488058567047,0.29216,-0.01465,0.48544,0.08182,0.01329,0.01908,0.9991,0.04083,0.00703,0.00926
0.533,0.015964550897479057,0.29129,-0.02528,0.48061,0.11905,0.01581,0.02186,0.99814,0.0594,0.00854,0.01044
0.6,0.015964550897479057,0.29182,-0.03531,0.4752,0.15669,0.01655,0.02738,0.99681,0.07814,0.00932,0.013
0.667,0.015964550897479057,0.29295,-0.0424,0.46866,0.19488,0.01522,0.03404,0.9951,0.09714,0.00923,0.0162
0.733,0.015964550897479057,0.29639,-0.04809,0.46399,0.24271,0.01621,0.03813,0.99245,0.12088,0.01035,0.01794
0.8,0.015964550897479057,0.30189,-0.05427,0.46074,0.29532,0.01554,0.04344,0.98888,0.14692,0.01088,0.02034
0.867,0.015964550897479057,0.3094,-0.06001,0.45716,0.34721,0.01432,0.04434,0.98473,0.17253,0.01088,0.0206
0.933,0.015964550897479057,0.31866,-0.06387,0.45219,0.40192,0.01462,0.04397,0.97964,0.1994,0.01155,0.02008
1.0,0.015964550897479057,0.32803,-0.06643,0.44526,0.45486,0.01624,0.04084,0.97405,0.22526,0.01251,0.01806
1.067,0.015964550897479057,0.33741,-0.0695,0.43718,0.50212,0.01884,0.03549,0.96849,0.24822,0.01353,0.01485
1.133,0.015964550897479057,0.34761,-0.07178,0.42864,0.54589,0.02289,0.02805,0.96287,0.26937,0.0148,0.01042
1.2,0.015964550897479057,0.35994,-0.07395,0.41958,0.59397,0.02567,0.02208,0.95613,0.29246,0.0155,0.0068
1.267,0.015964550897479057,0.37398,-0.07547,0.40976,0.64247,0.02706,0.01674,0.94876,0.31559,0.01548,0.00367
1.333,0.015964550897479057,0.39002,-0.078,0.40025,0.69147,0.02989,0.01451,0.94073,0.33874,0.01652,0.00176
1.4,0.015964550897479057,0.4058,-0.08014,0.3885,0.73775,0.03332,0.00915,0.93262,0.36044,0.01719,-0.00174
1.467,0.015964550897479057,0.42091,-0.082,0.37576,0.78037,0.03815,0.00858,0.92469,0.38021,0.01927,-0.00329
1.533,0.015964550897479057,0.43493,-0.08351,0.36398,0.81963,0.04284,0.01495,0.91702,0.39819,0.02262,-0.00168
