,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.016169102862477303,0.30727,-0.00018,0.48528,-0.00376,0.00043,0.00352,1.0,-0.00188,0.00021,0.00176
1,0.067,0.016169102862477303,0.30727,-0.00018,0.48528,-0.00374,0.00045,0.00352,1.0,-0.00187,0.00022,0.00176
2,0.133,0.016169102862477303,0.30704,-0.00201,0.48545,0.0012,-0.00214,0.00102,1.0,0.0006,-0.00107,0.00051
3,0.2,0.016169102862477303,0.30934,-0.00654,0.49466,0.00809,-0.02053,-0.00322,0.99994,0.00403,-0.01027,-0.00157
4,0.267,0.016169102862477303,0.31594,-0.01311,0.50665,0.01681,-0.02394,-0.00538,0.99989,0.00837,-0.01199,-0.00259
5,0.333,0.016169102862477303,0.32097,-0.01733,0.50989,0.02255,-0.02569,-0.00961,0.99984,0.01121,-0.0129,-0.00466
6,0.4,0.016169102862477303,0.32227,-0.0212,0.5078,0.02686,-0.02816,-0.01526,0.99978,0.01332,-0.01418,-0.00744
7,0.467,0.016169102862477303,0.32344,-0.02511,0.50679,0.0316,-0.02764,-0.0242,0.99971,0.01563,-0.01401,-0.01188
8,0.533,0.016169102862477303,0.32488,-0.02633,0.50333,0.02672,-0.02291,-0.03099,0.99973,0.01318,-0.01166,-0.01534
9,0.6,0.016169102862477303,0.32608,-0.02404,0.49698,0.01979,-0.01806,-0.03844,0.99973,0.00972,-0.00922,-0.01913
10,0.667,0.016169432550668716,0.32728,-0.0191,0.49041,0.01316,-0.01163,-0.04442,0.99972,0.00645,-0.00596,-0.02217
11,0.733,0.016169432550668716,0.32873,-0.01202,0.4809,0.00147,-0.00187,-0.04787,0.99971,0.00071,-0.00095,-0.02393
12,0.8,0.016169432550668716,0.3309,-0.00127,0.46978,-0.00567,0.0106,-0.0514,0.99965,-0.0027,0.00537,-0.02568
13,0.867,0.016169432550668716,0.33362,0.01089,0.45798,-0.01525,0.02217,-0.05456,0.99954,-0.00732,0.01129,-0.02719
14,0.933,0.016169432550668716,0.33639,0.02565,0.44503,-0.02621,0.03241,-0.0555,0.9994,-0.01265,0.01656,-0.02753
15,1.0,0.016169432550668716,0.33799,0.04039,0.43337,-0.03315,0.03843,-0.05148,0.99936,-0.01607,0.01963,-0.02541
16,1.067,0.016169432550668716,0.34062,0.05662,0.4237,-0.04958,0.0498,-0.04671,0.99913,-0.02419,0.02546,-0.02272
17,1.133,0.016169432550668716,0.34389,0.07562,0.4139,-0.06414,0.06547,-0.04393,0.99873,-0.03132,0.03341,-0.02089
18,1.2,0.016169432550668716,0.34758,0.09694,0.40177,-0.07695,0.08113,-0.04039,0.99827,-0.03761,0.04129,-0.0186
19,1.266,0.016169432550668716,0.35393,0.11798,0.38949,-0.09733,0.09995,-0.03047,0.99749,-0.04782,0.05063,-0.01277
20,1.333,0.016169432550668716,0.35974,0.13957,0.37455,-0.10975,0.11529,-0.01924,0.99682,-0.0542,0.05805,-0.00643
21,1.4,0.016169102862477303,0.36705,0.16088,0.35884,-0.12427,0.13188,-0.01241,0.99591,-0.06155,0.06615,-0.00209
22,1.467,0.016169102862477303,0.37715,0.18119,0.34087,-0.14276,0.15313,-0.00628,0.99454,-0.07087,0.07652,0.00233
