,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.01613725535571575,0.30724,0.00117,0.48526,-0.00454,0.00043,-0.00372,1.0,-0.00227,0.00022,-0.00186
1,0.067,0.01613725535571575,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
2,0.133,0.01613725535571575,0.30724,0.00116,0.48526,-0.00458,0.00043,-0.00374,1.0,-0.00229,0.00022,-0.00187
3,0.2,0.01613725535571575,0.30724,0.00117,0.48525,-0.00456,0.00039,-0.00372,1.0,-0.00228,0.0002,-0.00186
4,0.267,0.01613725535571575,0.30724,0.00116,0.48526,-0.00458,0.00043,-0.00374,1.0,-0.00229,0.00022,-0.00187
5,0.333,0.016136927530169487,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00372,1.0,-0.00228,0.00022,-0.00186
6,0.4,0.016136927530169487,0.30724,0.00116,0.48525,-0.00456,0.00041,-0.00374,1.0,-0.00228,0.00021,-0.00187
7,0.467,0.016136927530169487,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
8,0.533,0.016136927530169487,0.30724,0.00116,0.48525,-0.00456,0.00041,-0.00374,1.0,-0.00228,0.00021,-0.00187
9,0.6,0.016136927530169487,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
10,0.667,0.01613725535571575,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
11,0.733,0.01613725535571575,0.30724,0.00117,0.48525,-0.00458,0.00041,-0.00374,1.0,-0.00229,0.00021,-0.00187
12,0.8,0.01613725535571575,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
13,0.867,0.016136927530169487,0.30724,0.00117,0.48526,-0.00456,0.00043,-0.00374,1.0,-0.00228,0.00022,-0.00187
14,0.933,0.016136927530169487,0.30724,0.00142,0.48525,-0.00536,0.00041,-0.00318,1.0,-0.00268,0.00021,-0.00159
15,1.0,0.016136927530169487,0.30721,0.00179,0.4842,-0.00486,0.00081,-0.00266,1.0,-0.00243,0.00041,-0.00133
16,1.067,0.01613725535571575,0.3069,0.0021,0.48154,-0.00486,0.00089,-0.00216,1.0,-0.00243,0.00045,-0.00108
17,1.133,0.01613725535571575,0.30674,0.00208,0.47901,-0.00206,-0.00092,-0.00054,1.0,-0.00103,-0.00046,-0.00027
18,1.2,0.01613725535571575,0.30711,0.00288,0.47692,-0.00088,-0.00146,0.0016,1.0,-0.00044,-0.00073,0.0008
19,1.267,0.016136927530169487,0.30783,0.00381,0.47607,0.00097,-0.00374,0.00352,1.0,0.00049,-0.00187,0.00176
20,1.334,0.016136927530169487,0.3093,0.00509,0.47584,0.00457,-0.00341,0.00549,0.99999,0.00229,-0.0017,0.00275
21,1.4,0.016136927530169487,0.3113,0.00606,0.47553,0.00641,-0.00322,0.00693,0.99999,0.00321,-0.0016,0.00347
22,1.467,0.016136927530169487,0.31385,0.00756,0.47511,0.00929,-0.00288,0.00801,0.99998,0.00465,-0.00142,0.00401
23,1.533,0.016136927530169487,0.31743,0.00918,0.4747,0.01201,-0.00208,0.01001,0.99997,0.00601,-0.00101,0.00501
24,1.6,0.016136927530169487,0.3211,0.01074,0.4745,0.01505,-0.00583,0.0094,0.99996,0.00754,-0.00288,0.00472
25,1.667,0.016136927530169487,0.3263,0.01267,0.47511,0.01815,-0.00978,0.00701,0.99994,0.00909,-0.00486,0.00355
26,1.733,0.016136927530169487,0.33231,0.01486,0.47562,0.01956,-0.01363,0.00311,0.99993,0.00979,-0.0068,0.00162
