,time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0,0.0,0.015697617083787918,0.30821,0.00163,0.48582,-0.00989,0.00353,-0.00604,0.99998,-0.00494,0.00178,-0.00301
1,0.067,0.015697617083787918,0.30821,0.00163,0.48582,-0.00991,0.00353,-0.00602,0.99998,-0.00495,0.00178,-0.003
2,0.133,0.015697617083787918,0.30821,0.00163,0.48582,-0.00989,0.00353,-0.00602,0.99998,-0.00494,0.00178,-0.003
3,0.2,0.015697617083787918,0.30821,0.00163,0.48582,-0.00989,0.00353,-0.00602,0.99998,-0.00494,0.00178,-0.003
4,0.267,0.015697944909334183,0.30821,0.00163,0.48583,-0.00991,0.00353,-0.00604,0.99998,-0.00495,0.00178,-0.00301
5,0.333,0.015697944909334183,0.30821,0.00163,0.48582,-0.00991,0.00353,-0.00604,0.99998,-0.00495,0.00178,-0.00301
6,0.4,0.015697944909334183,0.30819,0.00161,0.48582,-0.00913,0.00351,-0.006,0.99998,-0.00456,0.00177,-0.00299
7,0.467,0.015697944909334183,0.30821,0.00174,0.48582,-0.00817,0.00358,-0.00561,0.99999,-0.00408,0.0018,-0.0028
8,0.533,0.015697944909334183,0.30864,0.0025,0.48602,-0.00723,0.00238,-0.00577,0.99999,-0.00361,0.0012,-0.00288
9,0.6,0.015697944909334183,0.30984,0.00285,0.48642,-0.00681,0.00162,-0.00715,0.99999,-0.0034,0.00082,-0.00357
10,0.667,0.015697944909334183,0.3114,0.00251,0.4863,-0.00518,-0.00088,-0.00896,0.99999,-0.00259,-0.00043,-0.00448
11,0.733,0.015697944909334183,0.31295,0.00262,0.48561,-0.00465,-0.00264,-0.00993,0.99998,-0.00233,-0.00131,-0.00497
12,0.8,0.015697617083787918,0.31459,0.00292,0.48447,-0.00355,-0.00566,-0.00955,0.99998,-0.00179,-0.00282,-0.00478
13,0.867,0.015697617083787918,0.31689,0.00315,0.48356,-0.00029,-0.00682,-0.00948,0.99998,-0.00016,-0.00341,-0.00474
14,0.933,0.015697617083787918,0.32032,0.00314,0.48262,0.0042,-0.00884,-0.01014,0.99998,0.00208,-0.00443,-0.00506
15,1.0,0.015697617083787918,0.32429,0.00276,0.48236,0.01172,-0.01021,-0.01226,0.99995,0.00583,-0.00514,-0.0061
16,1.067,0.015697617083787918,0.32878,0.00259,0.48151,0.01636,-0.01239,-0.01354,0.99992,0.00814,-0.00625,-0.00672
17,1.133,0.015697944909334183,0.33319,0.0031,0.48101,0.02096,-0.01377,-0.01431,0.9999,0.01043,-0.00696,-0.00708
