time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
0.0,0.01637464016675949,0.30833,0.01801,0.46785,-0.02138,0.00844,0.00391,0.99993,-0.0107,0.0042,0.002
0.067,0.01637464016675949,0.30943,0.02188,0.46453,-0.02562,0.01186,-0.00013,0.9999,-0.01281,0.00593,1e-05
0.133,0.01637464016675949,0.31109,0.02621,0.46181,-0.03075,0.01706,-0.00536,0.99984,-0.01535,0.00857,-0.00255
0.2,0.01637464016675949,0.31287,0.03171,0.45727,-0.03704,0.02377,-0.00812,0.99975,-0.01847,0.01196,-0.00384
0.267,0.01637464016675949,0.31439,0.03845,0.45158,-0.04255,0.0297,-0.0106,0.99965,-0.02119,0.01496,-0.00498
0.333,0.01637464016675949,0.31584,0.04525,0.44408,-0.04952,0.03572,-0.01285,0.99952,-0.02464,0.01801,-0.00598
0.4,0.01637464016675949,0.31664,0.0512,0.43549,-0.05112,0.0412,-0.01568,0.99943,-0.02539,0.02079,-0.00731
0.467,0.01637464016675949,0.31751,0.05632,0.42664,-0.05491,0.04856,-0.01853,0.99929,-0.02722,0.02452,-0.00859
0.533,0.01637464016675949,0.31782,0.06092,0.4178,-0.05918,0.05381,-0.02171,0.99915,-0.02928,0.02721,-0.01005
0.6,0.01637464016675949,0.31849,0.06627,0.41093,-0.06347,0.05973,-0.02178,0.999,-0.03139,0.03019,-0.00993
0.667,0.01637464016675949,0.31975,0.07318,0.40626,-0.07048,0.06568,-0.02276,0.99879,-0.03484,0.03321,-0.01021
0.733,0.01637464016675949,0.3212,0.08053,0.40261,-0.07679,0.07182,-0.02337,0.99857,-0.03794,0.03632,-0.01029
0.8,0.01637464016675949,0.32257,0.08758,0.39909,-0.08196,0.0781,-0.02378,0.99835,-0.04047,0.03949,-0.01027
0.867,0.01637464016675949,0.32407,0.09351,0.39568,-0.08595,0.08358,-0.02636,0.99814,-0.04237,0.0423,-0.01136
0.933,0.01637464016675949,0.32575,0.09762,0.39125,-0.08804,0.09315,-0.02974,0.99787,-0.04326,0.04716,-0.01279
1.0,0.01637464016675949,0.32686,0.1006,0.38499,-0.09049,0.09975,-0.03527,0.99762,-0.04429,0.05059,-0.01534
1.067,0.01637464016675949,0.3284,0.10314,0.37865,-0.09293,0.1083,-0.04176,0.99729,-0.04524,0.05502,-0.01831
1.133,0.01637464016675949,0.32974,0.10609,0.37142,-0.09626,0.11414,-0.04708,0.997,-0.04668,0.05809,-0.02073
