task_id,trial_id,section,trans,path_trans,rot,path_rot,move_time
1,1,1,0.5127336760931546,0.5790853000432585,0.04759041110151425,0.32872159869342954,8.666
1,1,2,0.4411480632395432,0.7129723069277842,0.04977495029771481,0.3108421832104801,12.533000000000001
1,2,1,0.5223690530649763,0.5818590689265329,0.07084345470268913,0.32480291713751586,6.733
1,2,2,0.45652665924346636,0.6450415014511133,0.057332731388735826,0.34819991130857525,7.867000000000001
1,3,1,0.5221594723836771,0.5671515563408365,0.07957498896581396,0.17274499686298347,5.667
1,3,2,0.44866855985237036,0.7086240308884201,0.05665938877449241,0.2573145305209242,9.0
2,1,1,0.5006937972453823,0.5404376293968359,0.7513227352929526,0.8186475348946046,6.533
2,1,2,0.317187059792798,0.5287108190599304,0.7680462999274343,0.995769159710667,12.533000000000001
2,2,1,0.49053609551183897,0.5370739860177892,0.7738107182257415,0.9271364696600692,7.8
2,2,2,0.3097876416192228,0.47301213274018555,0.7791867590315645,1.0474945261632067,10.867
2,3,1,0.4934547380459529,0.538576870962555,0.7610056160429791,0.8667965436812061,7.067
2,3,2,0.2999968388166782,0.40578581792287877,0.7327423077812019,1.0861745783533039,9.266
3,1,1,0.5579855075178924,0.842238951628006,0.028974684345146908,0.7178353707783834,14.333
3,1,2,0.4426111171220172,0.6243675579214818,0.7570502921106977,13.67463591930742,15.400000000000002
3,2,1,0.5597733953127819,0.718691129070335,0.03357723218170537,0.5130723773147227,9.333
3,2,2,0.438546497648767,0.5552606621962378,0.7494039522857773,7.439379372144513,17.067
3,3,1,0.6251935829805038,0.7447607700423157,0.027823330848068106,0.4047093493606252,9.067
3,3,2,0.4537431570833879,0.6553974706656855,0.832288590689842,1.217184121508288,15.533
