task_id,trial_id,section,trans,path_trans,rot,path_rot,move_time
1,1,1,0.5249787547129883,0.5956590549693208,0.039028857889683174,0.467472507659794,13.0
1,1,2,0.4866725039490109,0.7676182586849477,0.04497583976406445,0.9142827855436074,20.267000000000003
1,2,1,0.5246877803989721,0.6388820769119941,0.032544592177668655,0.6494086225067014,17.933
1,2,2,0.4771254243906941,0.6050158502580714,0.03893975331927485,0.4532842818986623,13.800000000000004
1,3,1,0.5256636522530352,0.6438288218845153,0.052779285663748406,0.6739837282618798,10.0
1,3,2,0.5045669709761035,0.6443393574837022,0.058574165205280436,0.4068116685606455,13.732999999999999
2,1,1,0.48422637464310014,0.5491955004758513,0.7713052198806649,0.9745252874770568,11.467
2,1,2,0.27667022337071256,0.49073294407692336,0.7700239115976082,1.4073734214583506,24.133
2,2,1,0.4871996341336886,0.5227293342378412,0.793031865259123,1.0705083432699163,10.133
2,2,2,0.2817365340171558,0.43790507837494425,0.7826635728939406,7.359854623818081,16.200000000000003
2,3,1,0.4858719976495868,0.5350094808703676,0.8450975338871097,0.9865137887289283,9.867
2,3,2,0.2995353508352561,0.5353464086769215,0.7755626422055779,1.2699903983271277,19.266000000000002
3,1,1,0.5449309725093628,0.608490048212033,0.8117594246556925,1.0698561854383066,11.667
3,1,2,0.2649394017506645,0.340018111200102,0.026608625918164368,0.45370567490799985,13.0
3,2,1,0.548749311525764,0.6357705382522422,0.8097141708098233,1.0429436232871965,11.267
3,2,2,0.25352946199603704,0.3470669869373277,0.04045861186966445,0.5052559595379224,15.133000000000001
3,3,1,0.5465104472926388,0.5978507747246916,0.7786516430125212,1.0681182799663502,11.533
3,3,2,0.26500542069927546,0.3296889497906145,0.03824807360762389,0.37635848343558403,10.0
